novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.0696,0.6065,0.1357,0.4086,0.1084,0.333,-0.0596,0.1289,0.2908,0.2336,0.1784,-0.0055,0.2653,0.1242,0.2129,0.0846,0.4314,0.4359,0.2057,-0.0017,0.1651,0.2569,0.0,0.2146,0.3834,0.4633,0.2367,0.4651,0.1212,0.1576,0.5569,0.2939,0.8395,0.418
0.1682,0.6065,0.1965,0.3104,0.1545,0.3136,0.0012,0.2107,0.2757,0.2412,0.2114,0.134,0.263,0.1851,0.2292,0.0846,0.4314,0.4359,0.2493,0.0479,0.2313,0.2702,0.0,0.2376,0.3834,0.4633,0.2424,0.3647,0.1422,0.2218,0.4002,0.2792,0.5512,0.418
0.2225,0.4451,0.2333,0.2714,0.1898,0.3136,0.0675,0.2485,0.2732,0.2517,0.2305,0.2045,0.2587,0.2283,0.2399,0.0846,0.3392,0.3525,0.2716,0.0479,0.2645,0.2771,0.1426,0.2518,0.3337,0.3655,0.2424,0.3647,0.1608,0.255,0.4002,0.2776,0.4161,0.3365
0.2447,0.3627,0.2526,0.2714,0.2115,0.3026,0.1183,0.2656,0.2694,0.2565,0.2305,0.2357,0.257,0.2471,0.2461,0.0846,0.2964,0.31,0.2733,0.1331,0.2645,0.2771,0.2092,0.2585,0.3034,0.3153,0.2424,0.3221,0.1883,0.2669,0.3309,0.2745,0.3472,0.2988
0.2522,0.3176,0.2607,0.2598,0.2259,0.2915,0.1627,0.2697,0.2694,0.2573,0.2305,0.2357,0.255,0.2536,0.2481,0.0846,0.2756,0.286,0.2684,0.1871,0.2673,0.2717,0.2388,0.26,0.2837,0.3153,0.2464,0.2978,0.2098,0.2671,0.296,0.2692,0.3098,0.2784
0.2539,0.2927,0.2625,0.2545,0.234,0.2824,0.1955,0.2688,0.2694,0.2564,0.2381,0.2463,0.255,0.2536,0.2484,0.0846,0.2637,0.2719,0.2628,0.2195,0.2645,0.2664,0.2516,0.2589,0.2709,0.3153,0.2464,0.2832,0.2098,0.2638,0.278,0.2631,0.2887,0.2668
0.2533,0.2789,0.2618,0.2545,0.2383,0.2752,0.2176,0.2667,0.2694,0.2548,0.2411,0.2501,0.2517,0.2525,0.2484,0.0846,0.2567,0.2633,0.2628,0.238,0.2607,0.2619,0.2564,0.2567,0.2629,0.2817,0.2475,0.274,0.2098,0.2599,0.2683,0.2581,0.2759,0.2598
0.2533,0.2695,0.2603,0.2497,0.2383,0.2686,0.2314,0.2667,0.2594,0.2548,0.2405,0.2501,0.2496,0.2507,0.2484,0.0846,0.2523,0.2571,0.2544,0.238,0.2564,0.2575,0.2567,0.2546,0.2629,0.2638,0.2475,0.2671,0.2284,0.2556,0.262,0.2541,0.2679,0.2544
0.2533,0.2695,0.2578,0.2497,0.2399,0.2631,0.2383,0.2607,0.253,0.2509,0.2405,0.2487,0.2496,0.2483,0.2456,0.0846,0.2485,0.2526,0.249,0.2494,0.2564,0.2533,0.2552,0.2533,0.2549,0.2533,0.2453,0.2618,0.2374,0.2515,0.262,0.2506,0.2614,0.2503
0.2489,0.2612,0.2553,0.245,0.2399,0.2586,0.2435,0.2607,0.2488,0.248,0.2385,0.247,0.2479,0.2459,0.2435,0.0846,0.2454,0.2491,0.245,0.2494,0.2506,0.2499,0.2529,0.2518,0.2497,0.2466,0.2432,0.2576,0.2417,0.2477,0.2566,0.2506,0.2614,0.247
0.2489,0.2612,0.2524,0.2414,0.2392,0.2544,0.245,0.2547,0.2453,0.2451,0.2361,0.2448,0.2479,0.2432,0.2409,0.0846,0.2424,0.2491,0.2415,0.2494,0.246,0.2465,0.2506,0.2498,0.2497,0.2416,0.2408,0.2536,0.243,0.2477,0.2566,0.2458,0.2552,0.2439
0.2442,0.2543,0.2497,0.2386,0.2379,0.2544,0.2457,0.2503,0.2453,0.2427,0.2341,0.2426,0.2452,0.2432,0.2387,0.0846,0.2397,0.2447,0.2387,0.2512,0.2426,0.2437,0.2479,0.2477,0.2497,0.2416,0.2387,0.2505,0.2429,0.2477,0.2513,0.2423,0.2509,0.2439
0.2408,0.2543,0.2471,0.2362,0.236,0.2498,0.245,0.2469,0.2453,0.2403,0.2322,0.2403,0.2428,0.2395,0.2365,0.0846,0.237,0.2413,0.2361,0.2504,0.2426,0.241,0.2454,0.2455,0.2429,0.2369,0.2387,0.2476,0.2417,0.2416,0.2475,0.2393,0.2473,0.2402
0.2378,0.248,0.2444,0.2336,0.2341,0.2458,0.2435,0.2439,0.2398,0.2378,0.2299,0.2378,0.2405,0.2395,0.2342,0.0846,0.2346,0.2413,0.2334,0.2485,0.2383,0.2383,0.2429,0.2455,0.2383,0.2333,0.2387,0.2447,0.2402,0.2371,0.2443,0.2364,0.2444,0.2402
0.2351,0.2437,0.2419,0.2336,0.2321,0.2425,0.2415,0.2411,0.2359,0.2353,0.2278,0.2353,0.2381,0.2395,0.2317,0.0846,0.2321,0.237,0.2308,0.2462,0.2348,0.2383,0.2429,0.2418,0.2383,0.2302,0.2387,0.2419,0.2386,0.2336,0.2413,0.2338,0.2419,0.2358
0.2326,0.2402,0.2392,0.2301,0.23,0.2395,0.2393,0.2384,0.2327,0.2329,0.2259,0.2329,0.2381,0.234,0.2296,0.0846,0.2321,0.2337,0.2284,0.2437,0.2348,0.2344,0.2393,0.239,0.2336,0.2277,0.2332,0.2393,0.2371,0.2308,0.2413,0.2313,0.239,0.2358
0.2302,0.2371,0.2368,0.227,0.23,0.2395,0.237,0.236,0.2327,0.2306,0.2237,0.2306,0.2347,0.23,0.2272,0.0846,0.2285,0.2309,0.2284,0.2411,0.2306,0.2344,0.2364,0.2363,0.2301,0.2277,0.2293,0.2367,0.2351,0.2282,0.2374,0.2288,0.239,0.2358
