novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.0775,0.8657,0.0349,0.604,0.0392,0.332,-0.0648,-0.0164,0.2684,0.1824,0.1705,-0.1873,0.3282,0.0292,0.1281,0.0846,0.6098,0.417,0.0681,-0.0062,0.0357,0.1861,0.0444,0.2146,0.4591,0.629,0.1915,0.6377,0.0954,0.1602,0.8269,0.2978,0.602,0.5627
0.0817,0.8179,0.0349,0.5923,0.0542,0.3237,-0.0198,0.0214,0.2457,0.1662,0.163,-0.1873,0.3282,0.0491,0.115,0.0846,0.5747,0.3997,0.0838,-0.0205,0.0651,0.1799,0.0806,0.2146,0.4585,0.629,0.1753,0.6187,0.103,0.1602,0.7915,0.279,0.602,0.548
0.087,0.7742,0.0349,0.5923,0.0704,0.3149,-0.0003,0.0499,0.2232,0.1526,0.1556,-0.0681,0.3057,0.0688,0.115,0.0846,0.5394,0.3796,0.0952,-0.0119,0.0878,0.1731,0.1059,0.185,0.4593,0.6078,0.1609,0.6043,0.1116,0.158,0.7534,0.279,0.4654,0.5328
0.0926,0.7318,0.0602,0.5765,0.0839,0.3019,0.0166,0.0697,0.2019,0.1419,0.1494,-0.0681,0.3057,0.0845,0.115,0.0846,0.4975,0.3796,0.0952,0.0034,0.1037,0.1668,0.1234,0.1619,0.4569,0.5922,0.1496,0.592,0.1205,0.1547,0.7135,0.2581,0.3868,0.5179
0.0986,0.6899,0.0602,0.5765,0.0949,0.2895,0.0323,0.0875,0.2019,0.1345,0.1446,0.007,0.2912,0.0965,0.1105,0.0846,0.4471,0.3796,0.0952,0.0198,0.1037,0.1609,0.1344,0.1619,0.4495,0.5773,0.1412,0.5793,0.1205,0.1511,0.6729,0.2375,0.3464,0.5028
0.1031,0.6492,0.0602,0.5765,0.1025,0.2754,0.0469,0.0875,0.2019,0.1297,0.1417,0.0497,0.2764,0.0965,0.1105,0.0846,0.3892,0.3572,0.0952,0.0361,0.1157,0.157,0.1411,0.1465,0.4495,0.5654,0.1358,0.5681,0.1291,0.1479,0.6345,0.2185,0.3123,0.4872
0.1031,0.6125,0.0602,0.5765,0.1025,0.2597,0.0602,0.0875,0.1849,0.1272,0.1399,0.0763,0.2605,0.1058,0.1092,0.0846,0.3304,0.3296,0.0952,0.0361,0.1246,0.1544,0.1448,0.1379,0.4434,0.5549,0.1328,0.5576,0.1347,0.1479,0.6012,0.2024,0.2816,0.4712
0.1085,0.5815,0.0857,0.5445,0.1091,0.2431,0.069,0.1027,0.1849,0.1263,0.1388,0.0939,0.2436,0.1129,0.1093,0.0846,0.2793,0.297,0.1097,0.054,0.1246,0.1528,0.1465,0.1379,0.4374,0.5448,0.1328,0.5468,0.1347,0.1462,0.5744,0.1887,0.2544,0.4543
0.1147,0.5562,0.1043,0.5445,0.1091,0.2264,0.0782,0.1162,0.1849,0.1263,0.1388,0.1079,0.2261,0.1197,0.1116,0.0846,0.2354,0.2603,0.1097,0.054,0.1326,0.1526,0.1483,0.1347,0.4311,0.5314,0.1325,0.5327,0.1384,0.1462,0.5487,0.1787,0.2313,0.4362
0.1206,0.5336,0.1174,0.5137,0.1166,0.2264,0.0848,0.1162,0.1733,0.1291,0.1395,0.1186,0.2261,0.1256,0.1144,0.0846,0.2028,0.2603,0.1232,0.0738,0.1389,0.1531,0.1496,0.1345,0.4237,0.5182,0.1331,0.5181,0.1407,0.1462,0.5279,0.1714,0.212,0.4165
0.1265,0.5128,0.1174,0.4879,0.1226,0.2114,0.093,0.1285,0.1733,0.1327,0.1411,0.1272,0.2063,0.1256,0.1189,0.0846,0.1811,0.2242,0.1323,0.0859,0.1441,0.1539,0.1508,0.136,0.4137,0.5011,0.1352,0.5181,0.1407,0.148,0.5279,0.1658,0.1978,0.4165
0.1319,0.4974,0.1293,0.461,0.1281,0.1973,0.1012,0.1372,0.1653,0.1327,0.143,0.1272,0.1906,0.1327,0.1189,0.0846,0.1811,0.2242,0.1323,0.0859,0.1481,0.1547,0.1522,0.139,0.4031,0.4825,0.138,0.5181,0.1435,0.148,0.4972,0.1619,0.1861,0.3941
0.1366,0.4802,0.137,0.4313,0.1325,0.1869,0.1076,0.1431,0.1653,0.1379,0.1454,0.1272,0.1785,0.1378,0.1253,0.0846,0.1679,0.1967,0.1406,0.0859,0.1511,0.1547,0.1531,0.139,0.4031,0.462,0.1407,0.4815,0.1456,0.148,0.4972,0.1593,0.1861,0.3684
0.1366,0.4802,0.1425,0.4007,0.1325,0.1791,0.1127,0.1475,0.1611,0.1424,0.148,0.1368,0.1711,0.1378,0.1309,0.0846,0.1605,0.1794,0.1466,0.1041,0.1535,0.1559,0.1531,0.1455,0.4031,0.439,0.1407,0.4528,0.1472,0.148,0.4972,0.1579,0.1861,0.3684
0.1421,0.4534,0.1425,0.3712,0.138,0.174,0.1181,0.1475,0.1589,0.1462,0.1504,0.1435,0.1668,0.1429,0.1309,0.0846,0.1568,0.1693,0.1512,0.1156,0.1535,0.1569,0.1558,0.1505,0.384,0.4151,0.1449,0.4255,0.1479,0.1521,0.4492,0.1573,0.1734,0.3399
0.1469,0.4534,0.1484,0.3377,0.1428,0.1718,0.1244,0.1524,0.1589,0.15,0.1536,0.1485,0.1634,0.1473,0.1388,0.0846,0.1554,0.1643,0.1553,0.1156,0.1563,0.1581,0.1582,0.1557,0.3606,0.3882,0.1491,0.396,0.1494,0.1552,0.4084,0.1573,0.166,0.3399
0.1515,0.404,0.1534,0.3011,0.1472,0.1723,0.1294,0.1524,0.1593,0.1539,0.1575,0.1529,0.1614,0.1512,0.1459,0.0846,0.1554,0.1643,0.1597,0.126,0.1593,0.16,0.1608,0.1614,0.335,0.3578,0.1533,0.3651,0.1513,0.1586,0.3682,0.1573,0.166,0.3091
0.1564,0.404,0.1534,0.2648,0.1518,0.1723,0.135,0.1592,0.1593,0.1584,0.1622,0.1529,0.1614,0.1512,0.1459,0.0846,0.1573,0.1643,0.1645,0.1328,0.1631,0.1629,0.164,0.1674,0.335,0.3251,0.158,0.3651,0.1536,0.1624,0.3288,0.1573,0.1632,0.2773
0.1564,0.404,0.1601,0.233,0.1562,0.1766,0.1406,0.1644,0.1593,0.1627,0.1668,0.159,0.1623,0.1572,0.1551,0.0846,0.1573,0.1662,0.1694,0.1328,0.1666,0.1659,0.1672,0.1674,0.2997,0.2946,0.1626,0.3651,0.1565,0.1661,0.293,0.161,0.1628,0.2473
0.1628,0.404,0.1651,0.2098,0.1562,0.1805,0.1443,0.169,0.1593,0.1627,0.1668,0.1641,0.1623,0.1621,0.1624,0.0846,0.1612,0.1688,0.1734,0.1419,0.1666,0.1691,0.1704,0.1742,0.2653,0.2638,0.1626,0.3096,0.1597,0.17,0.293,0.1645,0.1637,0.2227
0.1677,0.3225,0.1694,0.1955,0.1613,0.1838,0.1487,0.169,0.1651,0.1627,0.1715,0.1683,0.1653,0.1664,0.168,0.0846,0.1644,0.1714,0.1771,0.1485,0.1713,0.1691,0.1731,0.1787,0.2369,0.2638,0.1678,0.2665,0.1616,0.1733,0.2534,0.1679,0.1637,0.2052
0.1719,0.2695,0.1727,0.1875,0.1655,0.186,0.1536,0.1744,0.1694,0.1697,0.1747,0.1719,0.1682,0.1704,0.1728,0.0846,0.1644,0.1742,0.1802,0.1485,0.1713,0.1734,0.1754,0.1812,0.2162,0.2346,0.1718,0.2366,0.1646,0.1733,0.2261,0.1712,0.1672,0.1943
0.1748,0.2341,0.1751,0.1834,0.169,0.1867,0.1536,0.1779,0.1727,0.1742,0.1765,0.1746,0.1711,0.1734,0.1762,0.0846,0.169,0.1764,0.182,0.1557,0.1713,0.1734,0.1773,0.1812,0.2019,0.2135,0.1745,0.2152,0.1678,0.1733,0.2073,0.1741,0.1703,0.1877
0.1764,0.2117,0.1767,0.1811,0.1716,0.1859,0.1597,0.1779,0.1748,0.1766,0.1771,0.1746,0.1737,0.1754,0.1762,0.0846,0.1721,0.1777,0.1823,0.1601,0.1756,0.1763,0.1786,0.1816,0.2019,0.1993,0.1761,0.2011,0.1707,0.1733,0.1954,0.1761,0.1728,0.1836
