novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.0696,0.6673,0.1328,0.4787,0.0419,0.3375,-0.136,-0.0044,0.288,0.2132,0.2075,-0.1521,0.3222,0.0,0.1424,0.0846,0.5651,0.417,0.046,0.0635,0.1042,0.2199,0.0688,0.2289,0.4658,0.5511,0.1915,0.6597,0.0982,0.1883,0.5838,0.3133,0.7099,0.4951
0.1237,0.5073,0.1919,0.3908,0.0627,0.3299,-0.1013,-0.0044,0.2838,0.2209,0.2235,-0.0365,0.3136,0.1594,0.1781,0.0846,0.4925,0.3986,0.046,0.0511,0.1705,0.2377,0.1189,0.238,0.4445,0.4769,0.2097,0.5009,0.1101,0.1883,0.4304,0.3087,0.6107,0.4342
0.1572,0.405,0.1919,0.3303,0.0811,0.3171,-0.0691,-0.0044,0.2757,0.2244,0.2335,0.0427,0.3036,0.2114,0.1924,0.0846,0.4925,0.3805,0.1472,0.0415,0.209,0.2474,0.1534,0.2406,0.4229,0.4769,0.2194,0.4014,0.1233,0.2064,0.343,0.3087,0.6107,0.4342
0.1803,0.3443,0.2161,0.2919,0.0974,0.3171,-0.0401,0.0408,0.2706,0.2244,0.2411,0.0997,0.3036,0.2322,0.2001,0.0846,0.4367,0.3648,0.2007,0.0343,0.2341,0.2474,0.1534,0.2404,0.4229,0.4175,0.2267,0.4014,0.1363,0.2202,0.2954,0.3027,0.5372,0.3876
0.1803,0.3087,0.2289,0.2683,0.0974,0.3058,-0.0144,0.0408,0.2654,0.2269,0.2411,0.0997,0.3001,0.2322,0.2047,0.0846,0.3935,0.3648,0.2288,0.0343,0.2489,0.2474,0.1791,0.2409,0.4229,0.3739,0.2267,0.3419,0.1363,0.2202,0.2703,0.2971,0.4809,0.3533
0.1943,0.3087,0.2289,0.2683,0.1113,0.2954,0.0067,0.0761,0.2579,0.2277,0.2429,0.1377,0.2957,0.2369,0.2052,0.0846,0.3593,0.3495,0.2394,0.0323,0.2554,0.2505,0.1969,0.2387,0.4013,0.3405,0.2297,0.3419,0.1363,0.2289,0.2547,0.2971,0.4376,0.3267
0.2041,0.2836,0.2322,0.2683,0.124,0.2874,0.0256,0.1053,0.2533,0.2277,0.243,0.1377,0.2906,0.2369,0.2052,0.0846,0.3332,0.336,0.2443,0.0331,0.2584,0.2521,0.2101,0.2374,0.3822,0.3165,0.2312,0.3048,0.15,0.2351,0.2468,0.2907,0.4031,0.3068
0.2101,0.2657,0.2325,0.2526,0.1351,0.2805,0.0425,0.1287,0.2489,0.228,0.243,0.1637,0.2855,0.2362,0.2057,0.0846,0.3125,0.336,0.2447,0.0361,0.2582,0.2522,0.2195,0.2374,0.3647,0.2974,0.2313,0.2815,0.1621,0.239,0.2468,0.2843,0.3753,0.2912
0.2139,0.2543,0.2322,0.242,0.1449,0.2745,0.0576,0.1476,0.2453,0.2281,0.243,0.1637,0.2806,0.2362,0.2058,0.0846,0.2963,0.3234,0.2447,0.0407,0.2564,0.2513,0.2258,0.2358,0.3489,0.2826,0.2313,0.2671,0.1727,0.2413,0.2407,0.2784,0.353,0.2792
0.2139,0.2456,0.2307,0.2349,0.1449,0.269,0.0711,0.1626,0.2419,0.2277,0.2404,0.1811,0.2759,0.2326,0.2054,0.0846,0.2831,0.312,0.2408,0.0464,0.2564,0.2513,0.23,0.2343,0.3345,0.2706,0.2298,0.2572,0.1818,0.2423,0.2362,0.2784,0.3345,0.2694
0.2154,0.2393,0.2307,0.2298,0.1535,0.264,0.0825,0.1626,0.239,0.227,0.2404,0.1811,0.2713,0.23,0.2054,0.0846,0.2725,0.3018,0.237,0.0529,0.2521,0.2489,0.2327,0.2343,0.3215,0.2706,0.2278,0.2504,0.1892,0.2423,0.2329,0.2784,0.3192,0.2615
0.216,0.2345,0.2279,0.2298,0.1608,0.2593,0.0929,0.1626,0.2364,0.2261,0.2404,0.1926,0.267,0.2271,0.2054,0.0846,0.2637,0.2926,0.2336,0.0593,0.2521,0.2464,0.2343,0.2323,0.3215,0.2602,0.226,0.2452,0.1955,0.2423,0.2304,0.2716,0.3064,0.2551
0.2162,0.2311,0.2258,0.226,0.1671,0.2593,0.1023,0.174,0.234,0.2252,0.2368,0.2005,0.263,0.225,0.2054,0.0846,0.2564,0.2844,0.2306,0.0593,0.2473,0.2464,0.2349,0.2308,0.3095,0.2602,0.2244,0.2414,0.2008,0.241,0.2304,0.2716,0.2954,0.2499
0.2161,0.2311,0.2241,0.2233,0.1725,0.2546,0.1104,0.1834,0.2321,0.2243,0.2337,0.2059,0.2593,0.223,0.2051,0.0846,0.2504,0.2771,0.2282,0.0666,0.2433,0.2433,0.235,0.2308,0.2988,0.2516,0.2227,0.2385,0.2008,0.2396,0.2281,0.2651,0.2861,0.2456
