novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.1698,0.6085,0.1379,0.403,0.106,0.3353,-0.0607,0.1265,0.2876,0.2007,0.2318,-0.3182,0.3134,0.0,0.2,0.0846,0.4299,0.3643,0.2111,-0.0201,0.1705,0.2639,0.1646,0.247,0.3923,0.6486,0.2305,0.4658,0.1159,0.2358,0.5478,0.3167,0.8395,0.4142
0.2097,0.6085,0.1912,0.3212,0.1513,0.3282,0.0123,0.1265,0.2876,0.2267,0.2569,-0.0141,0.3301,0.12,0.2162,0.0846,0.4299,0.3247,0.2673,-0.0201,0.2417,0.2899,0.1646,0.247,0.3424,0.6486,0.2462,0.3686,0.1159,0.2686,0.3937,0.3008,0.5562,0.3349
0.2341,0.6085,0.2212,0.2838,0.1844,0.3183,0.063,0.2111,0.2876,0.2427,0.2643,0.1309,0.3175,0.1877,0.2299,0.0846,0.3406,0.3038,0.2673,0.0247,0.2737,0.2941,0.2339,0.2472,0.3128,0.4558,0.2506,0.3255,0.1729,0.2806,0.327,0.2919,0.4209,0.3349
0.247,0.4335,0.2395,0.2668,0.2141,0.305,0.1054,0.2452,0.2846,0.2535,0.2637,0.2002,0.3031,0.2262,0.239,0.0846,0.3049,0.2918,0.2812,0.0809,0.2737,0.2905,0.2339,0.2523,0.2948,0.3643,0.2506,0.3062,0.2115,0.2802,0.2973,0.2919,0.3525,0.2995
0.2511,0.4335,0.2395,0.2591,0.2288,0.2938,0.143,0.2599,0.2778,0.2565,0.2588,0.2303,0.2929,0.243,0.2414,0.0846,0.3049,0.2811,0.2812,0.1281,0.2756,0.2817,0.2339,0.2561,0.2948,0.3136,0.25,0.2911,0.2323,0.2759,0.2973,0.2825,0.3176,0.2809
0.2542,0.3469,0.2511,0.2591,0.2387,0.2938,0.1728,0.2655,0.2727,0.2565,0.254,0.2452,0.2848,0.2525,0.2448,0.0846,0.2847,0.2745,0.2764,0.1648,0.2756,0.2754,0.2529,0.2584,0.2791,0.288,0.2491,0.2827,0.2323,0.2711,0.2808,0.2825,0.2979,0.2704
0.2539,0.3028,0.2511,0.2542,0.2429,0.2829,0.196,0.2667,0.2673,0.2565,0.2502,0.2452,0.2778,0.2546,0.2448,0.0846,0.2725,0.2683,0.2764,0.192,0.2756,0.2693,0.26,0.2585,0.2791,0.2717,0.2483,0.2756,0.2441,0.2664,0.2808,0.2728,0.2864,0.264
0.2539,0.2807,0.2511,0.2515,0.2444,0.2758,0.196,0.2667,0.2622,0.2553,0.2476,0.2496,0.2729,0.2546,0.2448,0.0846,0.2641,0.2633,0.2764,0.192,0.2674,0.2641,0.2617,0.2582,0.2664,0.2613,0.2479,0.27,0.2441,0.2664,0.2699,0.2654,0.2787,0.2597
0.251,0.2679,0.2543,0.2492,0.2439,0.27,0.2131,0.2667,0.2578,0.253,0.2449,0.2498,0.2687,0.2519,0.2433,0.0846,0.2641,0.2633,0.2624,0.2117,0.261,0.2592,0.2609,0.2567,0.2664,0.2544,0.2479,0.2653,0.2495,0.2598,0.2628,0.2597,0.2726,0.2559
