novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.1784,0.6065,0.1357,0.4086,0.1084,0.333,-0.0596,0.1289,0.286,0.2336,0.236,-0.0055,0.2653,0.1242,0.2129,0.0846,0.4314,0.3585,0.2057,-0.0017,0.1651,0.2569,0.1576,0.2567,0.3834,0.4633,0.2367,0.4651,0.1212,0.2343,0.5569,0.2939,0.5306,0.418
0.3144,0.3489,0.1606,0.4431,0.2113,0.3307,0.0503,0.3291,0.2894,0.3771,0.1727,0.3446,-0.0051,0.1399,0.2798,0.4217,0.4545,0.2408,0.1888,0.2475,0.2208,0.1359,0.2629,0.2321,0.2721,0.48,0.1917,0.4708,-0.0366,0.2169,0.2896,0.2577,0.017,0.1626
0.3381,0.2282,0.2528,0.4237,0.2301,0.4822,0.0529,0.1951,0.3479,0.3644,0.1971,0.3634,0.2362,0.2643,0.4073,0.2101,0.4443,0.3751,0.1874,0.0831,0.1924,0.2187,0.2915,0.2639,0.3225,0.4776,0.2125,0.477,0.2518,0.2071,0.4099,0.2403,0.3266,0.2602
0.3555,0.0535,0.1127,0.3054,0.2113,0.2565,-0.1535,0.1569,0.3746,0.346,0.1955,0.294,-0.0577,0.2267,0.32,0.017,0.4353,0.2449,0.1932,0.0995,0.2206,0.333,0.215,0.1191,0.052,0.1951,0.1468,-0.1922,0.0878,0.2635,0.3219,0.1447,0.159,0.2137
0.3351,0.2845,0.0804,0.3296,0.0498,0.2589,-0.1254,-0.0502,0.18,0.2165,0.2882,0.3007,0.0824,0.0677,0.0525,0.4753,0.1473,0.2885,0.2337,-0.0392,0.0817,0.203,0.2079,0.2095,0.2469,0.3653,0.2451,-0.1962,0.2605,0.2226,0.288,0.2346,0.1943,0.2449
0.2393,0.259,0.1018,0.3483,0.113,-0.2307,-0.1823,0.155,-0.0296,0.1941,-0.0356,0.1454,0.1004,0.0838,0.262,0.5492,0.0487,0.2019,0.2768,-0.0548,0.2229,0.1421,0.0938,0.123,0.1658,0.3676,0.1662,0.3401,0.0322,0.2128,0.3087,0.2186,0.1713,0.1053
0.2425,0.1594,0.1524,0.3433,0.2195,0.1157,-0.1559,0.1346,0.1286,0.2439,0.1584,0.1045,0.1337,0.0832,0.2734,0.448,0.0944,0.3161,0.2781,-0.0548,0.1557,0.1955,0.1078,0.1414,0.1974,0.3616,0.1883,0.0555,0.1316,0.1871,0.2846,0.1904,0.3143,0.2759
0.4883,0.1336,0.2546,0.2699,0.1465,0.2713,-0.0554,0.2577,0.2125,0.2075,0.2179,-0.1409,0.1256,0.3012,0.2058,0.4994,0.1776,0.2772,0.2492,0.0771,0.1144,0.1255,0.1063,0.259,0.1391,0.1553,0.1946,0.1091,0.0819,0.2008,0.2054,0.1668,0.3858,0.2875
0.2247,0.063,0.2297,0.2528,0.2299,0.0784,-0.0583,0.1276,0.13,0.1744,0.1857,0.3411,0.1027,0.0996,0.3163,0.5407,0.3309,0.2784,0.19,0.3613,0.1405,0.1556,0.0824,0.1472,0.0293,0.1774,0.187,0.0309,0.0748,0.2073,0.2801,0.1793,0.273,0.2079
0.1661,0.1076,0.0968,0.2593,0.2662,0.0766,-0.0957,0.3316,0.0743,0.1266,0.1726,0.1782,0.0502,0.1937,0.1898,-0.0414,0.294,0.1827,0.0855,-0.0594,0.0218,0.1967,0.0967,0.2093,0.104,0.139,0.1075,0.0855,0.2819,0.1554,0.261,0.1594,0.2798,0.2441
0.5068,0.1255,0.2482,0.2809,0.1473,0.3516,0.178,0.0534,0.0455,0.227,0.1266,0.1718,-0.246,0.0524,0.1935,0.154,0.138,0.174,0.0052,0.1606,0.2075,0.1034,-0.0262,0.2033,0.0884,0.1362,0.136,0.0385,-0.1171,0.1999,0.1902,0.2245,0.0209,0.1712
