novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.1698,0.6085,0.1379,0.403,0.106,0.3353,-0.0607,0.1265,0.2876,0.2296,0.2318,-0.007,0.3134,0.1283,0.2,0.0846,0.4299,0.3643,0.2111,-0.0201,0.1705,0.2639,0.1646,0.247,0.3923,0.4593,0.2305,0.4658,0.1159,0.2358,0.5478,0.3064,0.5361,0.4142
0.303,0.3478,0.1526,0.4359,0.2044,0.3246,0.0401,0.3252,0.2735,0.3703,0.1626,0.3301,0.0126,0.1407,0.2615,0.4217,0.4461,0.2326,0.1844,0.1626,0.2097,0.1299,0.2489,0.2168,0.2628,0.4759,0.1839,0.4648,-0.0331,0.2087,0.2797,0.2507,0.0254,0.1541
0.3289,0.2292,0.2488,0.4198,0.2252,0.4782,0.0403,0.1938,0.3418,0.3595,0.1925,0.3556,0.2969,0.2632,0.3921,0.2101,0.4409,0.3748,0.186,0.0535,0.1937,0.2227,0.2912,0.2553,0.3199,0.472,0.209,0.4722,0.2551,0.2088,0.4017,0.2429,0.3335,0.2561
0.3472,0.0594,0.1269,0.3066,0.2039,0.2582,-0.1779,0.1727,0.3799,0.3466,0.19,0.283,-0.0534,0.2323,0.3014,0.017,0.4378,0.2494,0.1962,-0.0352,0.2305,0.3399,0.2192,0.1206,0.051,0.1966,0.1454,-0.1981,0.0904,0.2751,0.3186,0.1585,0.1686,0.2166
0.324,0.2896,0.0819,0.3299,0.0466,0.2583,-0.1557,-0.0503,0.1776,0.2157,0.2842,0.2887,0.0838,0.0694,0.0366,0.4753,0.1419,0.2869,0.2339,-0.084,0.0797,0.2039,0.212,0.2091,0.2487,0.3709,0.243,-0.201,0.2534,0.2236,0.2855,0.2367,0.1895,0.2442
0.2223,0.2545,0.0857,0.345,0.1089,-0.2316,-0.2033,0.1356,-0.0373,0.1888,-0.042,0.1283,0.0502,0.0795,0.2396,0.5492,0.0412,0.1933,0.2683,-0.1483,0.1977,0.1193,0.0845,0.1155,0.1623,0.3647,0.1586,0.3359,0.0419,0.1844,0.3005,0.2091,0.1598,0.0977
0.2272,0.1568,0.1443,0.3426,0.2127,0.1144,-0.1713,0.1284,0.1273,0.2402,0.1541,0.0914,0.1264,0.0783,0.253,0.448,0.0869,0.3138,0.2732,-0.1483,0.1488,0.1882,0.1087,0.1429,0.1966,0.3576,0.1846,0.0494,0.1363,0.1765,0.2778,0.1899,0.3069,0.2713
0.4745,0.1228,0.2416,0.2637,0.134,0.2664,-0.1118,0.2573,0.2072,0.1999,0.2097,-0.1545,0.1479,0.2919,0.1811,0.4994,0.1696,0.2754,0.2432,-0.0692,0.1118,0.124,0.1113,0.2522,0.1355,0.1503,0.1867,0.1017,0.0799,0.1943,0.1966,0.163,0.3806,0.2815
0.2207,0.0785,0.2355,0.2534,0.2317,0.0797,-0.0375,0.1317,0.1326,0.1781,0.182,0.3382,0.0941,0.1088,0.3074,0.5407,0.325,0.2817,0.1922,0.2738,0.1398,0.1593,0.0839,0.1483,0.0366,0.1777,0.1925,0.0301,0.0759,0.2051,0.2843,0.1828,0.2666,0.2076
