novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.0775,0.8657,0.0349,0.604,0.0392,0.332,-0.0648,-0.0164,0.2684,0.1824,0.1705,-0.1873,0.3051,0.0292,0.1281,0.0846,0.6098,0.417,0.0681,-0.0062,0.0357,0.1861,0.0444,0.1901,0.4591,0.629,0.1774,0.6377,0.0954,0.1602,0.8269,0.2978,0.602,0.5627
0.3426,0.3449,0.0419,0.5884,0.1757,0.3258,0.0138,0.3135,0.2828,0.454,0.0969,0.3915,-0.0045,0.0474,0.2522,0.4217,0.5859,0.2129,0.0223,0.282,0.1527,0.0207,0.2555,0.1867,0.2413,0.6144,0.1227,0.6145,-0.0652,0.1368,0.2932,0.2473,-0.0277,0.0747
0.3717,0.1034,0.1788,0.5313,0.2044,0.5967,0.0163,0.0448,0.374,0.4259,0.1149,0.409,0.32,0.2626,0.4773,0.2101,0.561,0.4338,0.0358,0.0851,0.0781,0.1421,0.2716,0.2289,0.3442,0.6053,0.1273,0.6036,0.2938,0.1011,0.4826,0.1954,0.4099,0.214
0.508,-0.0828,0.0646,0.4172,0.195,0.3264,-0.2348,0.1531,0.5341,0.4851,0.2,0.4001,-0.0865,0.2635,0.4496,0.017,0.5752,0.2842,0.2435,0.1668,0.2236,0.4563,0.2485,0.1311,-0.051,0.2318,0.144,-0.3525,0.1258,0.294,0.4436,0.1285,0.1664,0.2451
0.457,0.3542,0.0324,0.4546,-0.123,0.335,-0.3086,-0.1725,0.1927,0.2544,0.2898,0.3972,0.066,-0.0256,-0.1193,0.4753,0.1013,0.3675,0.2852,-0.0253,-0.029,0.2308,0.269,0.2819,0.281,0.462,0.2817,-0.4043,0.3331,0.2606,0.3689,0.2905,0.225,0.2639
0.2689,0.264,0.0242,0.4765,0.0763,-0.2981,-0.2713,0.075,-0.1811,0.1851,-0.1295,0.1031,0.1956,0.0288,0.298,0.5492,-0.0159,0.2061,0.2732,-0.0244,0.2389,0.1062,0.0358,0.0906,0.1202,0.4859,0.1273,0.4271,0.0721,0.2205,0.3857,0.2599,0.1872,0.035
0.2788,0.1074,0.1049,0.441,0.242,0.0401,-0.2786,0.0693,0.0741,0.2758,0.0789,0.0269,0.0592,0.0241,0.3302,0.448,0.0313,0.4044,0.3297,-0.0244,0.0903,0.1731,0.0391,0.1165,0.1651,0.466,0.1518,-0.0277,0.1492,0.1385,0.35,0.1917,0.4017,0.3294
0.5928,0.0958,0.2775,0.2717,0.0955,0.2845,-0.2752,0.3134,0.2095,0.2174,0.1699,-0.4844,0.0736,0.3669,0.2267,0.4994,0.1847,0.3193,0.2376,-0.1101,0.048,0.0429,0.0429,0.247,0.077,0.1625,0.1622,0.0379,0.0758,0.1606,0.2354,0.1239,0.4355,0.3345
0.2372,-0.0952,0.2119,0.3009,0.2227,0.0347,-0.127,0.0626,0.0902,0.1611,0.1801,0.4492,0.0353,0.0315,0.4148,0.5407,0.4294,0.3511,0.2295,0.4038,0.0961,0.1266,0.0355,0.1838,-0.1143,0.1704,0.1769,-0.0883,0.0437,0.208,0.349,0.1773,0.3323,0.2216
