novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.0696,0.9246,0.0086,0.6124,0.0176,0.34,-0.1779,-0.0675,0.2908,0.2007,0.1784,-0.3182,0.3282,0.0,0.1424,0.0846,0.6597,0.4359,0.046,0.0825,-0.004,0.1917,0.0,0.2146,0.4658,0.6486,0.1915,0.6597,0.0887,0.1576,0.8605,0.3167,0.8395,0.5768
0.1277,0.6673,0.1328,0.4787,0.0419,0.3375,-0.136,-0.0044,0.288,0.2132,0.2075,-0.1521,0.3222,0.1611,0.1876,0.0846,0.5651,0.417,0.1776,0.0635,0.1042,0.2199,0.0688,0.2289,0.4481,0.5511,0.2127,0.5067,0.0982,0.1883,0.5838,0.3133,0.7099,0.4951
0.3274,0.35,0.1469,0.4997,0.1759,0.3319,-0.1,0.3298,0.2758,0.4438,0.1245,0.3721,0.0051,0.1767,0.2576,0.4217,0.5718,0.2159,0.147,0.2322,0.1826,0.0413,0.2604,0.203,0.2441,0.5596,0.1485,0.5059,-0.1353,0.1577,0.2833,0.2455,-0.048,0.1031
0.3509,0.1977,0.2458,0.4714,0.2056,0.5463,-0.1,0.063,0.3477,0.4087,0.1258,0.3857,0.3026,0.2592,0.4145,0.2101,0.5697,0.4306,0.1482,0.1695,0.1374,0.1642,0.278,0.241,0.3361,0.5577,0.153,0.5118,0.3034,0.1359,0.414,0.2003,0.3938,0.2306
0.4332,0.0273,0.1193,0.3556,0.1982,0.2963,-0.4946,0.1492,0.4057,0.4536,0.1964,0.3469,-0.2108,0.2204,0.337,0.017,0.5684,0.2878,0.2114,0.1531,0.225,0.4219,0.2479,0.1193,-0.0705,0.2062,0.1346,-0.2931,0.0878,0.2895,0.3359,0.1236,0.1615,0.2322
0.3967,0.3025,0.0785,0.3847,-0.0828,0.2964,-0.376,-0.1712,0.1753,0.2249,0.2838,0.3499,-0.0443,0.1037,-0.0039,0.4753,0.0964,0.3594,0.2414,0.1441,0.0233,0.2101,0.2449,0.2451,0.2673,0.4407,0.2593,-0.2954,0.3447,0.2407,0.2966,0.2789,0.2006,0.2461
0.2505,0.2569,0.0823,0.4014,0.0767,-0.4689,-0.393,0.0862,-0.0658,0.187,-0.1661,0.1133,0.1428,0.0998,0.2548,0.5492,-0.0241,0.2071,0.2722,-0.0915,0.2158,0.1032,0.0353,0.1039,0.1162,0.4375,0.1434,0.363,0.0586,0.206,0.3145,0.2569,0.1632,0.0491
0.2534,0.1448,0.1426,0.3943,0.2444,0.0605,-0.3816,0.0839,0.1186,0.2674,0.1082,0.0488,0.0818,0.0984,0.2724,0.448,0.0358,0.4023,0.289,-0.0915,0.1212,0.1855,0.0454,0.1198,0.1712,0.4338,0.1651,0.0121,0.1596,0.1512,0.2892,0.1974,0.3781,0.3086
0.6172,0.1139,0.2436,0.2794,0.1014,0.2833,-0.3603,0.3394,0.209,0.2145,0.1922,-0.3167,0.0713,0.2643,0.1955,0.4994,0.1767,0.3345,0.245,-0.0769,0.0707,0.0592,0.0465,0.2575,0.0693,0.1545,0.1747,0.0803,0.0746,0.1634,0.2036,0.1302,0.4982,0.3339
0.232,0.0443,0.2345,0.2881,0.2372,0.0465,-0.3338,0.0611,0.1246,0.1625,0.1815,0.4102,0.0502,0.1367,0.3371,0.5407,0.408,0.351,0.2039,0.6889,0.1102,0.1325,0.0351,0.166,-0.1286,0.1686,0.1822,-0.0042,0.0458,0.2107,0.2953,0.1795,0.3261,0.2216
