date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-03,1,"$BTC current key levels:

previous Highs support range (magnet): $10,500 - $10,200
EMA 100 on Daily: $10,400
10k support below https://t.co/JAXVjUAVfw","$BTC current key levels:previous Highs support range (magnet): $10,500 - $10,200EMA 100 on Daily: $10,40010k support below",0.6597,0.231,0.0,-0.041666666666666664,0.39166666666666666
2020-09-29,5,"quickly losing confidence in $BTC. barely able to pump when the dollar index consolidates, but quick to dump when it actually shows some signs of strength.","quickly losing confidence in $BTC. barely able to pump when the dollar index consolidates, but quick to dump when it actually shows some signs of strength.",0.3071,0.192,0.155,0.29166666666666663,0.43125
2020-09-29,5," nothing would make me happier than seeing btc decoupling from the dollar and its correlation with legacy markets. as of now, the opposite is the case, at least momentarily","nothing would make me happier than seeing btc decoupling from the dollar and its correlation with legacy markets. as of now, the opposite is the case, at least momentarily",0.5267,0.108,0.0,-0.15,0.2
2020-09-29,5,"one can have faith in bitcoin, while at the same time be objective about the temporary weakness of current price action. few know this.","one can have faith in bitcoin, while at the same time be objective about the temporary weakness of current price action. few know this.",0.0,0.101,0.101,-0.02,0.16499999999999998
2020-09-30,5,can't say it isn't there $btc https://t.co/JGNNV2HmjI,can't say it isn't there $btc,0.0,0.0,0.0,0.0,0.0
2020-10-02,5,$btc breakdown occured after yet another retest of resistance and failed bull break https://t.co/KOnYvAr0dZ,$btc breakdown occured after yet another retest of resistance and failed bull break,-0.5106,0.0,0.202,-0.5,0.3
2020-10-07,6,$btc bearish arguments: downward resolution of minor triangle would lead price way below important trendline &amp; below crucial 10k support https://t.co/QAgNbakqxe,$btc bearish arguments: downward resolution of minor triangle would lead price way below important trendline &amp; below crucial 10k support,0.2023,0.179,0.107,0.11666666666666668,0.7333333333333334
2020-10-07,6,"$btc bullish arguments: upside resolution of minor triangle would lead price back into bullish territory, having respected important trendline &amp; EMAs on multiple occasions https://t.co/00LzzJj5sK","$btc bullish arguments: upside resolution of minor triangle would lead price back into bullish territory, having respected important trendline &amp; EMAs on multiple occasions",0.296,0.166,0.091,0.08750000000000001,0.3
2020-10-07,6," i dont think this way. news don't drive price, it is supply and demand determining the fair price of an asset. if btc breaks down from here, in two weeks everybody will say ""it was obvious, all this bad news. price was just lagging, why didnt i short"", etc","i dont think this way. news don't drive price, it is supply and demand determining the fair price of an asset. if btc breaks down from here, in two weeks everybody will say ""it was obvious, all this bad news. price was just lagging, why didnt i short"", etc",-0.4451,0.088,0.142,-0.03111111111111109,0.5311111111111111
2020-10-08,6,$btc w/ bullish triangle break on rising volume https://t.co/NSYKlVR1cz,$btc w/ bullish triangle break on rising volume,0.0,0.0,0.0,0.0,0.0
2020-10-09,6, if this is a fakeout $btc is in big trouble to say the least,if this is a fakeout $btc is in big trouble to say the least,-0.4019,0.0,0.184,-0.16666666666666666,0.23333333333333336
2020-10-17,7,"recent $btc breakout was legit, but more effort needs to be coming from the bulls. price action remains in a three-wave corrective move after bearish impulsion. break of $11,740 &amp; $12,500 Highs needs to commence, otherwise bears might try to force more consolidation/downside https://t.co/nQ5aYPCGdJ","recent $btc breakout was legit, but more effort needs to be coming from the bulls. price action remains in a three-wave corrective move after bearish impulsion. break of $11,740 &amp; $12,500 Highs needs to commence, otherwise bears might try to force more consolidation/downside",0.0,0.0,0.0,0.275,0.3375
2020-10-19,8,all EMAs are crossed upwards in every single timeframe from weekly all the way down to minute-charts. $btc decision time soon https://t.co/a7rluC7LY1,all EMAs are crossed upwards in every single timeframe from weekly all the way down to minute-charts. $btc decision time soon,0.0,0.0,0.0,-0.1134920634920635,0.2515873015873016
2020-10-19,8,"if the strong breakup occurs, I am long $BTC, $ETH, $LTC on leverage with absurdly high targets. if we get rejected and meltdown instead, my first targets would be in the $9,400 - $9,500 area for a triangle breakout point retest","if the strong breakup occurs, I am long $BTC, $ETH, $LTC on leverage with absurdly high targets. if we get rejected and meltdown instead, my first targets would be in the $9,400 - $9,500 area for a triangle breakout point retest",0.0,0.077,0.077,0.19833333333333333,0.5016666666666667
2020-10-19,8,"  trading on PrimeXBT without interest rates:

https://t.co/nWxxkJ75Cm",trading on PrimeXBT without interest rates:,-0.357,0.0,0.292,0.0,0.0
2020-10-19,8,"the upside scenario for $btc is unusually clear. breaking $12,500 will generate plenty of momentum towards $14,000. If that $14k High gets taken out as well $btc will be full throttle on the way towards ATH and above https://t.co/wjRzAx1oUn","the upside scenario for $btc is unusually clear. breaking $12,500 will generate plenty of momentum towards $14,000. If that $14k High gets taken out as well $btc will be full throttle on the way towards ATH and above",0.6115,0.119,0.0,0.1525,0.3933333333333333
2020-10-20,8,$btc log inversed https://t.co/wNYUk13YJZ,$btc log inversed,0.0,0.0,0.0,0.0,0.0
2020-10-21,8,"bitcoin has been going off well and will continue. let them sellers drop what they want to drop around here, they will buy back higher later. BTC drags up USD value of ALTS, but ALTS drop against BTC until the selling is absorbed. time to plant seeds in ALTS is coming very soon","bitcoin has been going off well and will continue. let them sellers drop what they want to drop around here, they will buy back higher later. BTC drags up USD value of ALTS, but ALTS drop against BTC until the selling is absorbed. time to plant seeds in ALTS is coming very soon",-0.4019,0.077,0.123,0.15,0.33999999999999997
2020-10-21,8," i dont think we have to wait that long actually. i do want to see alts reactions to the real breakout of btc that is coming. imho this pump today was just the beginning. then re-evaluate, wait for proper patterns in ALTS/BTC and then place longterm bets in qualitative projects","i dont think we have to wait that long actually. i do want to see alts reactions to the real breakout of btc that is coming. imho this pump today was just the beginning. then re-evaluate, wait for proper patterns in ALTS/BTC and then place longterm bets in qualitative projects",0.0772,0.027,0.0,0.037500000000000006,0.225
2020-10-22,8, am long LTCUSD. trigger in LTCBTC would just make it escalate more,am long LTCUSD. trigger in LTCBTC would just make it escalate more,0.0,0.0,0.0,0.225,0.45
2020-10-22,8,"  that might be Willy's opinion and I'm sure it works well for him. i am more interested in how many people are actually sitting down for the first time to research the term bitcoin, because they will turn to buyers along the road. used this chart for a long time with good results","that might be Willy's opinion and I'm sure it works well for him. i am more interested in how many people are actually sitting down for the first time to research the term bitcoin, because they will turn to buyers along the road. used this chart for a long time with good results",0.8516,0.18,0.0,0.2771604938271605,0.4567901234567901
2020-10-22,8,don't underestimate the impact of a strong $btc move on alt/btc pairs. my best guess is we see one more round of blood before bottoming out. imho btc not finished attacking 14k,don't underestimate the impact of a strong $btc move on alt/btc pairs. my best guess is we see one more round of blood before bottoming out. imho btc not finished attacking 14k,0.8972,0.305,0.0,0.43333333333333335,0.4833333333333333
2020-10-22,8,"i suppose alt/usd pair should be fine as BTC's move would drag their value up. turbulences likely though. am long BTCUSD, LTCUSD, ETHUSD. patiently waiting for bottoms in their respective /BTC pairs for takeoff","i suppose alt/usd pair should be fine as BTC's move would drag their value up. turbulences likely though. am long BTCUSD, LTCUSD, ETHUSD. patiently waiting for bottoms in their respective /BTC pairs for takeoff",0.6249,0.185,0.05,0.05333333333333333,0.4141666666666667
2020-10-22,8," likely the same here, strong BTC move will likely force DGB/BTC further down the drain. i am a buyer at lower levels","likely the same here, strong BTC move will likely force DGB/BTC further down the drain. i am a buyer at lower levels",0.2732,0.14,0.094,0.04629629629629628,0.6078703703703704
2020-10-23,8,$LTCUSD getting ready. one of the coins I expect to closely follow $BTC movements https://t.co/IAQYSkwvNz,$LTCUSD getting ready. one of the coins I expect to closely follow $BTC movements,0.3612,0.161,0.0,0.2,0.5
2020-10-23,8,  you do understand though that a rising LTCUSD price will be beneficial for LTCBTC?,you do understand though that a rising LTCUSD price will be beneficial for LTCBTC?,0.4404,0.195,0.0,0.0,0.0
2020-10-23,8,"  its just an assumption you have that LTCBTC will go to zero, which is simply ignorant. as on the of the oldest, most reliant chains, with greater speed than BTC, tell me exactly why it will go to zero","its just an assumption you have that LTCBTC will go to zero, which is simply ignorant. as on the of the oldest, most reliant chains, with greater speed than BTC, tell me exactly why it will go to zero",0.2944,0.101,0.05,0.3125,0.4017857142857143
2020-10-23,8,"  dude your lack of understanding of the mechanics is disturbing. why be so vocal if you have no clue about the mechanics? rising LTCUSD will turn around LTCBTC when sellers are exhausted, then the ratio will be kicking and LTC goes straight. i will come back to this","dude your lack of understanding of the mechanics is disturbing. why be so vocal if you have no clue about the mechanics? rising LTCUSD will turn around LTCBTC when sellers are exhausted, then the ratio will be kicking and LTC goes straight. i will come back to this",-0.8126,0.035,0.19,-0.175,0.475
2020-10-23,8,"  then buy BTC, short LTC and see how that goes for ya","then buy BTC, short LTC and see how that goes for ya",0.0,0.0,0.0,0.0,0.3
