date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,"1 year $BTC Chart vs $USD Chart 

#Bitcoin $DXY #Cryptocurrency https://t.co/wWfg5z2VHH",1 year $BTC Chart vs $USD Chart #Bitcoin $DXY #Cryptocurrency,0.0,0.0,0.0,0.0,0.0
2020-09-11,2,"The founder of  wanted me to pass this message on to all the #crypto people

#Bitcoin $BTC #Cryptocurrency https://t.co/WgqirpdpFD",The founder of  wanted me to pass this message on to all the #crypto people#Bitcoin $BTC #Cryptocurrency,0.0,0.0,0.0,0.0,0.0
2020-09-16,3,"Kraken Exchange wins approval to create America’s first #crypto bank

#Bitcoin $BTC #Cryptocurrency https://t.co/JegIyvJgJ8",Kraken Exchange wins approval to create America’s first #crypto bank#Bitcoin $BTC #Cryptocurrency,0.836,0.447,0.0,0.275,0.26666666666666666
2020-09-19,3,"Last 6 months: 

#Link $LINK +344%
#Ethereum $ETH +180%
#Monero $XMR +110%
#StellarLumens $XLM +99%
#Zcash $ZEC +78%
#Bitcoin $BTC +68%
#Ripple $XRP +57% 
#Litecoin $LTC +23%",Last 6 months: #Link $LINK +344%#Ethereum $ETH +180%#Monero $XMR +110%#StellarLumens $XLM +99%#Zcash $ZEC +78%#Bitcoin $BTC +68%#Ripple $XRP +57% #Litecoin $LTC +23%,0.0,0.0,0.0,0.0,0.06666666666666667
2020-09-19,3,"Last 3 months: 

#Link $LINK +125% 
#Ethereum $ETH +58%
#Monero $XMR +42%
#Ripple $XRP +32%
#Bitcoin $BTC +14%
#StellarLumens $XLM +10% 
#Zcash $ZEC +9% 
#Litecoin $LTC +9%

#Cryptocurrency",Last 3 months: #Link $LINK +125% #Ethereum $ETH +58%#Monero $XMR +42%#Ripple $XRP +32%#Bitcoin $BTC +14%#StellarLumens $XLM +10% #Zcash $ZEC +9% #Litecoin $LTC +9%#Cryptocurrency,0.0,0.0,0.0,0.0,0.06666666666666667
2020-09-28,5,"Demand for #Bitcoin is rising, but there is less than 2.5 million $BTC left to mine #Cryptocurrency https://t.co/syD5JLghYO","Demand for #Bitcoin is rising, but there is less than 2.5 million $BTC left to mine #Cryptocurrency",-0.0644,0.0,0.068,-0.08333333333333333,0.03333333333333333
2020-10-08,6,"BREAKING:  Invests $50 Million in #Bitcoin

“Bitcoin could be more ubiquitous currency in future.” - Square CFO

Jack Dorsey  (CEO of  and ) is all in on $BTC 

#Cryptocurrency",BREAKING:  Invests $50 Million in #Bitcoin“Bitcoin could be more ubiquitous currency in future.” - Square CFOJack Dorsey  (CEO of  and ) is all in on $BTC #Cryptocurrency,0.0,0.0,0.0,0.25,0.3125
2020-10-13,7,"New  Report Explains Why Trillions of Dollars Could Move Into #Bitcoin in the Coming Years 

$BTC #Cryptocurrency https://t.co/SpQLikwaKV",New  Report Explains Why Trillions of Dollars Could Move Into #Bitcoin in the Coming Years $BTC #Cryptocurrency,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
2020-10-14,7,"Coinbase Holds More Than $11 Billion Of #Bitcoin In Cold Storage 

 #Cryptocurrency $BTC  https://t.co/daDYEMjEJc",Coinbase Holds More Than $11 Billion Of #Bitcoin In Cold Storage  #Cryptocurrency $BTC,0.0,0.0,0.0,-0.04999999999999999,0.75
2020-10-20,8,#Bitcoin Hits $12K as Its Dominance Surpasses 60 Percent First Time Since August $BTC #Cryptocurrency https://t.co/w1LQKbuFfE,#Bitcoin Hits $12K as Its Dominance Surpasses 60 Percent First Time Since August $BTC #Cryptocurrency,0.2023,0.107,0.0,0.25,0.3333333333333333
2020-10-21,8,"JUST IN:  to allow #cryptocurrency buying, selling and shopping on its network #Bitcoin #Ethereum  https://t.co/YH92TG4TEa","JUST IN:  to allow #cryptocurrency buying, selling and shopping on its network #Bitcoin #Ethereum",0.2263,0.119,0.0,0.0,0.0
2020-10-23,8,"""I came to the conclusion that $BTC was going to be the best of the inflation trades. #Bitcoin has a lot of characteristics of being an early investor in a tech company...it's like investing with Steve Jobs and Apple."" - Billionaire Paul Tudor Jones
 https://t.co/rWWb8JGGVk","""I came to the conclusion that $BTC was going to be the best of the inflation trades. #Bitcoin has a lot of characteristics of being an early investor in a tech company...it's like investing with Steve Jobs and Apple."" - Billionaire Paul Tudor Jones",0.7717,0.143,0.0,0.55,0.3
2020-10-26,9,"JPMorgan Sees #Bitcoin Rising Up To 10x As Millennials Flood Into The ""Alternative"" Currency $BTC #Cryptocurrency 
 https://t.co/8A3UInBsqR","JPMorgan Sees #Bitcoin Rising Up To 10x As Millennials Flood Into The ""Alternative"" Currency $BTC #Cryptocurrency",0.0,0.0,0.0,0.0,0.0
2020-10-27,9,"Someone Just Sent $1 Billion in #Bitcoin, Paid Only $3 in Fees $BTC #Cryptocurrency https://t.co/PwClnADlqA","Someone Just Sent $1 Billion in #Bitcoin, Paid Only $3 in Fees $BTC #Cryptocurrency",0.0,0.0,0.0,0.0,1.0
2020-11-04,10,"#Bitcoin doesn’t care who wins the election 

💲1️⃣4️⃣,1️⃣0️⃣0️⃣ 

$BTC is the best performing asset, this year, last 5 years and last 10 years #HODL","#Bitcoin doesn’t care who wins the election 💲1️⃣4️⃣,1️⃣0️⃣0️⃣ $BTC is the best performing asset, this year, last 5 years and last 10 years #HODL",0.9274,0.417,0.0,0.325,0.15833333333333333
2020-11-05,10,$USD 1 Year Chart vs #Bitcoin 1 Year Chart https://t.co/HW0YYeOFm1,$USD 1 Year Chart vs #Bitcoin 1 Year Chart,0.0,0.0,0.0,0.0,0.0
2020-11-05,10,#Bitcoin chart https://t.co/fMZf2Tmnwq,#Bitcoin chart,0.0,0.0,0.0,0.0,0.0
2020-11-07,10,"Joe Biden is expected to hire #bitcoin-friendly, Gary Gensler, to help oversee Wall Street $BTC #Cryptocurrency https://t.co/Z6wUd8TBlX","Joe Biden is expected to hire #bitcoin-friendly, Gary Gensler, to help oversee Wall Street $BTC #Cryptocurrency",0.4019,0.144,0.0,-0.1,0.4
2020-11-08,10,"JPMorgan Says Institutions Ditching Gold ETFs for #Bitcoin $BTC #Cryptocurrency 
 https://t.co/JkbeWkLEtT",JPMorgan Says Institutions Ditching Gold ETFs for #Bitcoin $BTC #Cryptocurrency,0.0,0.0,0.0,0.0,0.0
