date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,If this is a wave 3 of 3 in Bitcoin from the March20 lows then Im going to be very happy,If this is a wave 3 of 3 in Bitcoin from the March20 lows then Im going to be very happy,0.4927,0.183,0.083,1.0,1.0
2020-09-01,1, No Bitcoin &gt;,No Bitcoin,-0.296,0.0,0.524,0.0,0.0
2020-09-03,1,"The #BTC Trump autograph spread is tightening. 

https://t.co/VBmDFvdVeY",The #BTC Trump autograph spread is tightening.,0.0,0.0,0.0,0.0,0.0
2020-09-04,1, agree and a great level to bounce off.   BTC always likes a retest though,agree and a great level to bounce off.   BTC always likes a retest though,0.8555,0.511,0.0,0.8,0.75
2020-09-05,1,"Will 10,000 support in Bitcoin hold? https://t.co/5EqbofjpT2","Will 10,000 support in Bitcoin hold?",0.4019,0.31,0.0,0.0,0.0
2020-09-14,3,"Join me live 8pm(uk) for Monday Night Crypto on my youtube, including a look at #BTC #ETH #LINK #NEO &amp; #XHV.
If you have a coin you'd like me to look at, please let me know below.
See you then...
https://t.co/6F2sxx9rb2","Join me live 8pm(uk) for Monday Night Crypto on my youtube, including a look at #BTC #ETH #LINK #NEO &amp; #XHV.If you have a coin you'd like me to look at, please let me know below.See you then...",0.7184,0.163,0.0,0.13636363636363635,0.5
2020-09-14,3,"I am live for Monday Night Crypto
https://t.co/MMTF4Mnj7S
Tonight's requests are: #BTC ETH LINK BAND VET OGN ZIL EOS HBAR MITH BLZ MKR FET ZEN #XHV",I am live for Monday Night CryptoTonight's requests are: #BTC ETH LINK BAND VET OGN ZIL EOS HBAR MITH BLZ MKR FET ZEN #XHV,0.0,0.0,0.0,0.13636363636363635,0.5
2020-09-19,3,"I’ve had a bag of #xhv for a few months. It reminds me of what I thought Bitcoin was when I first heard about it all those years ago.

“As DeFi Eyes Profits, One Stablecoin Won't Sacrifice Privacy” https://t.co/jFYwJfYXer","I’ve had a bag of #xhv for a few months. It reminds me of what I thought Bitcoin was when I first heard about it all those years ago.“As DeFi Eyes Profits, One Stablecoin Won't Sacrifice Privacy”",0.4404,0.079,0.0,0.024999999999999994,0.21666666666666667
2020-09-21,4,"Join me 8pm(uk) for Monday Night Crypto: https://t.co/RjkD6rqptE
I will be applying technical analysis to #btc &amp; cryptocurrency markets live, if you have requests for coins you’d like me to look at, let me know in the live stream.
See you there... https://t.co/f1D3zGBc8W","Join me 8pm(uk) for Monday Night Crypto: I will be applying technical analysis to #btc &amp; cryptocurrency markets live, if you have requests for coins you’d like me to look at, let me know in the live stream.See you there...",0.5719,0.105,0.0,0.0909090909090909,0.3666666666666667
2020-09-28,5,"Are you new to trading? Are you interested in cryptocurrency &amp; #BTC ? Join me LIVE at 8pm(uk) on my youtube channel https://t.co/EIcTT0TrbR as I take a look around the markets &amp; the hot coins that my Strategy Group are involved in this week.
See you then... https://t.co/e7sB42EJNZ",Are you new to trading? Are you interested in cryptocurrency &amp; #BTC ? Join me LIVE at 8pm(uk) on my youtube channel  as I take a look around the markets &amp; the hot coins that my Strategy Group are involved in this week.See you then...,0.644,0.109,0.0,0.19318181818181818,0.5761363636363637
