date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-12,2, The same general crowd that don't like Bitcoin also tend to not like other things that help people protect themselves or their property.,The same general crowd that don't like Bitcoin also tend to not like other things that help people protect themselves or their property.,0.2686,0.186,0.148,-0.024999999999999994,0.3333333333333333
2020-10-10,6,  #Bitcoin for starters.,#Bitcoin for starters.,0.0,0.0,0.0,0.0,0.0
2020-11-04,10,"  Also, Bitcoin price is practically unchanged, compared to its normal behavior.","Also, Bitcoin price is practically unchanged, compared to its normal behavior.",0.0,0.0,0.0,0.15,0.6499999999999999
2020-11-04,10,"   No ""Bitcoin"" for you!","No ""Bitcoin"" for you!",-0.3595,0.0,0.454,0.0,0.0
2020-11-05,10,     Bitcoin is far more reliable than any politician.,Bitcoin is far more reliable than any politician.,0.0,0.0,0.0,0.3,0.75
2020-11-05,10,"  Invest in things that don't depend on the integrity of politicians, e.g. Bitcoin.","Invest in things that don't depend on the integrity of politicians, e.g. Bitcoin.",0.3818,0.178,0.0,0.0,0.0
2020-11-13,11," ""Bitcoin""","""Bitcoin""",0.0,0.0,0.0,0.0,0.0
2020-11-13,11,  If it was actual Bitcoin you would not have to trust nearly as much.,If it was actual Bitcoin you would not have to trust nearly as much.,-0.4023,0.0,0.172,0.1,0.15000000000000002
2020-11-13,11," Not really.  It's cargo-cult cryptocurrency, the opposite of the trust-minimized real thing e.g. Bitcoin.","Not really.  It's cargo-cult cryptocurrency, the opposite of the trust-minimized real thing e.g. Bitcoin.",0.0,0.0,0.0,0.03333333333333333,0.16666666666666666
2020-11-16,12, It's for those other parts of life that are not secured by #Bitcoin.,It's for those other parts of life that are not secured by #Bitcoin.,-0.3089,0.0,0.158,-0.125,0.375
2020-11-17,12,"  Bitcoin is both trust-minimized (even more than gold) yet quite unlike gold digital &amp; easily transferable in its trust-minimized form. It's an unprecedentedly superior form of money, but like anything else new traded in a free market, its historical journey starts off volatile.","Bitcoin is both trust-minimized (even more than gold) yet quite unlike gold digital &amp; easily transferable in its trust-minimized form. It's an unprecedentedly superior form of money, but like anything else new traded in a free market, its historical journey starts off volatile.",0.8922,0.235,0.0,0.30995670995670993,0.4982683982683983
2020-11-17,12,"   CBDCs, if they ever prove to be more than vaporware, compete with Visa/Mastercard/Paypal/Venmo/ApplyPay/ not with Bitcoin.","CBDCs, if they ever prove to be more than vaporware, compete with Visa/Mastercard/Paypal/Venmo/ApplyPay/ not with Bitcoin.",0.0,0.0,0.0,0.5,0.5
2020-11-17,12, #Bitcoin's balance sheet is inherently normalized.,#Bitcoin's balance sheet is inherently normalized.,0.0,0.0,0.0,0.0,0.0
2020-11-17,12,     Zuckerberg's thing is not a Bitcoin initiative and it's not of much importance.,Zuckerberg's thing is not a Bitcoin initiative and it's not of much importance.,-0.2755,0.0,0.161,0.2,0.2
2020-11-19,12,  Bitcoin has already been forked several times and that was indeed the result each time.,Bitcoin has already been forked several times and that was indeed the result each time.,0.0,0.0,0.0,0.0,0.0
2020-11-19,12,"As users convert trust-based, on-exchange bitcoin to their own trust-minimized #Bitcoin, their own holdings and the bitcoin ecosystem as a whole are both growing stronger. https://t.co/0jxWsqgg5p","As users convert trust-based, on-exchange bitcoin to their own trust-minimized #Bitcoin, their own holdings and the bitcoin ecosystem as a whole are both growing stronger.",0.5106,0.158,0.0,0.4666666666666666,0.7999999999999999
2020-11-19,12,  It's consistent with the current bull market being more about growing political uncertainties (which drive both price up *and* trust in centralized entities down) and less from mass media hype (which is usually oblivious to the risk/trust problems Bitcoin solves).,It's consistent with the current bull market being more about growing political uncertainties (which drive both price up *and* trust in centralized entities down) and less from mass media hype (which is usually oblivious to the risk/trust problems Bitcoin solves).,0.046,0.114,0.11,0.0253968253968254,0.2650793650793651
2020-11-20,12,"    Or to put it another way, who you are vulnerable to and to what extent you are vulnerable to them.  Bitcoin makes you vulnerable to far fewer strangers for whom it is far more difficult to violate your property.","Or to put it another way, who you are vulnerable to and to what extent you are vulnerable to them.  Bitcoin makes you vulnerable to far fewer strangers for whom it is far more difficult to violate your property.",-0.8737,0.0,0.26,-0.1857142857142857,0.7142857142857143
2020-11-23,13," 1 $BTC = 1 FYA, the only exchange rate you really need to know.","1 $BTC = 1 FYA, the only exchange rate you really need to know.",0.0,0.0,0.0,0.1,0.6
2020-11-24,13,"  ""Unhosted wallets"" are of course what Bitcoin has by default and has had all along.","""Unhosted wallets"" are of course what Bitcoin has by default and has had all along.",0.0,0.0,0.0,0.0,0.0
2020-11-25,13,  Popular votes are extremely far from trust-minimized. Bitcoin is valuable because it's a strong alternative to that.,Popular votes are extremely far from trust-minimized. Bitcoin is valuable because it's a strong alternative to that.,0.8481,0.414,0.0,0.37777777777777777,0.8777777777777778
2020-11-27,13," For those who don't know, self-hosted crypto wallets are the original and default wallets in Bitcoin. They are quite fundamental to the design of all trust-minimized cryptocurrencies.","For those who don't know, self-hosted crypto wallets are the original and default wallets in Bitcoin. They are quite fundamental to the design of all trust-minimized cryptocurrencies.",0.3182,0.081,0.0,0.375,0.75
2020-12-05,14," ""Requirements"" for what?  Are you proposing specific changes to Bitcoin?","""Requirements"" for what?  Are you proposing specific changes to Bitcoin?",0.0,0.0,0.0,0.0,0.125
2020-12-05,14,"  I would hope so, but ""we [old-timers?] need to embrace ... requirements from ... [various institutions etc. largely new to Bitcoin and often with local constraints conflicting with its distinguishingly valuable uses] is I think a much more likely interpretation of the sentence.","I would hope so, but ""we [old-timers?] need to embrace ... requirements from ... [various institutions etc. largely new to Bitcoin and often with local constraints conflicting with its distinguishingly valuable uses] is I think a much more likely interpretation of the sentence.",0.714,0.214,0.072,0.12727272727272726,0.4909090909090909
2020-12-06,14," If you want to go ""legit and corporate"" go legit and corporate and leave Bitcoin alone.  Bitcoin is not corporate and its value is not based on conventional ""legitimacy"".","If you want to go ""legit and corporate"" go legit and corporate and leave Bitcoin alone.  Bitcoin is not corporate and its value is not based on conventional ""legitimacy"".",0.128,0.116,0.1,-0.03571428571428571,0.08928571428571429
2020-12-07,15,"       This would be creating a derivative with higher risk and higher transaction costs, either via a different prices or via having, in order to minimize risk, to constantly transfer between the lower and higher risk forms of ""bitcoin"".","This would be creating a derivative with higher risk and higher transaction costs, either via a different prices or via having, in order to minimize risk, to constantly transfer between the lower and higher risk forms of ""bitcoin"".",-0.6486,0.053,0.204,0.15,0.4866666666666667
2020-12-09,15," There's some odd regulatory arbitrage going on here. Why is it that MSTR can buy bitcoin but other institutional players ""don't (or can't)"" but can buy MSTR bonds?","There's some odd regulatory arbitrage going on here. Why is it that MSTR can buy bitcoin but other institutional players ""don't (or can't)"" but can buy MSTR bonds?",-0.1655,0.0,0.058,-0.14583333333333331,0.3125
2020-12-09,15,  There is default risk on the bonds -- how is the downside mitigated?  Related question -- how much of a drawdown in $BTC price over what period can MSTR handle?,There is default risk on the bonds -- how is the downside mitigated?  Related question -- how much of a drawdown in $BTC price over what period can MSTR handle?,-0.5362,0.0,0.142,0.1,0.30000000000000004
2020-12-14,16," The phobia these people have for self-custody, and the lengths they will go to avoid it, is astounding.  The very value-adds they see in Bitcoin vs. its rivals are ultimately related, in no small part, to the ability and common practice of self-custody.","The phobia these people have for self-custody, and the lengths they will go to avoid it, is astounding.  The very value-adds they see in Bitcoin vs. its rivals are ultimately related, in no small part, to the ability and common practice of self-custody.",-0.2263,0.102,0.14,0.125,0.52
2020-12-18,16," Bitcoin, OTOH, is rapidly monetizing, and that creates a far more extreme price regime.","Bitcoin, OTOH, is rapidly monetizing, and that creates a far more extreme price regime.",0.2732,0.149,0.0,0.15833333333333333,0.8333333333333334
2020-12-20,16,"   For such large amounts you don't send it all in one block, and you do them with parties with which you have legal recourse including reachable assets outside of Bitcoin or other cryptocurrencies (this consideration applies as much or even more to other cryptocurrencies).","For such large amounts you don't send it all in one block, and you do them with parties with which you have legal recourse including reachable assets outside of Bitcoin or other cryptocurrencies (this consideration applies as much or even more to other cryptocurrencies).",0.25,0.121,0.059,0.10803571428571429,0.32857142857142857
2020-12-20,16," If you do that many BTC all in one block with one counterparty, yes.  (And we are talking about the security here, when you can be confident that a tx can't be physically reversed, not a legally defined settlement time).","If you do that many BTC all in one block with one counterparty, yes.  (And we are talking about the security here, when you can be confident that a tx can't be physically reversed, not a legally defined settlement time).",0.7652,0.23,0.089,0.225,0.41904761904761906
2020-12-22,17," Bikula:

https://t.co/CqlV5D1j2V

For extra fun, perpetually exchange two different currencies, e.g. Bitcoin for Monero, through several hops kula-style, into which could occasionally occur a crypto-for-something-else transaction.  Each node try to keep a balanced value of each.","Bikula:For extra fun, perpetually exchange two different currencies, e.g. Bitcoin for Monero, through several hops kula-style, into which could occasionally occur a crypto-for-something-else transaction.  Each node try to keep a balanced value of each.",0.6908,0.151,0.0,0.041666666666666664,0.2041666666666667
