date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-03,1,As usual crypto and Bitcoin are NOT an hedge in risk off episodes. Bitcoin today much more sharply down - over 5% - than equities. A partial risk off hedge asset is gold that is going up today.,As usual crypto and Bitcoin are NOT an hedge in risk off episodes. Bitcoin today much more sharply down - over 5% - than equities. A partial risk off hedge asset is gold that is going up today.,-0.1779,0.065,0.109,-0.0013888888888888978,0.33472222222222225
2020-09-27,4,"The IRS Sets a Trap for Cryptocurrency Tax Cheats
The tax collector is making it a lot harder to pretend you don’t have bitcoin or other virtual currencies hidden away somewhere
https://t.co/lG7nzv3jT7",The IRS Sets a Trap for Cryptocurrency Tax CheatsThe tax collector is making it a lot harder to pretend you don’t have bitcoin or other virtual currencies hidden away somewhere,-0.6705,0.0,0.194,-0.13055555555555556,0.23611111111111108
2020-10-02,5,The myth that crypto is a hedge in risk-off episodes totally failed when Bitcoin &amp; other Shitcoins plunged 50% or more when equities plunged 35% in Feb-Mar.  Same is happening now as US equities plunge following news that Trump is Covid-positive. Crypto Shitcoins are plunging too,The myth that crypto is a hedge in risk-off episodes totally failed when Bitcoin &amp; other Shitcoins plunged 50% or more when equities plunged 35% in Feb-Mar.  Same is happening now as US equities plunge following news that Trump is Covid-positive. Crypto Shitcoins are plunging too,-0.5563,0.0,0.075,-0.025,0.28
2020-10-03,5,"There’s No Place to Hide Anymore When the Stock Market Plunges
All the obvious hedges against stock-market volatility—Treasurys, gold, bitcoin and the VIX—stopped working in September
https://t.co/p7NRvmyUhk","There’s No Place to Hide Anymore When the Stock Market PlungesAll the obvious hedges against stock-market volatility—Treasurys, gold, bitcoin and the VIX—stopped working in September",-0.4404,0.0,0.135,0.0,0.5
2020-11-08,10,"It's not scaleable, it's not secure, it's not decentralized, it's not a currency: Roubini on Bitcoin https://t.co/KfUtseXd4M via ","It's not scaleable, it's not secure, it's not decentralized, it's not a currency: Roubini on Bitcoin  via",-0.2584,0.0,0.113,-0.2,0.6
2020-11-09,11,"Bitcoin is NOT a currency: it is not a unit of account, it is not a single numeraire, it is not a scalable means of payments, it is not backed by any asset, it is not legal tender, its price is highly manipulated &amp; thus its partial store of value function is based on nothing.","Bitcoin is NOT a currency: it is not a unit of account, it is not a single numeraire, it is not a scalable means of payments, it is not backed by any asset, it is not legal tender, its price is highly manipulated &amp; thus its partial store of value function is based on nothing.",0.1439,0.087,0.095,-0.0010714285714285739,0.31357142857142856
2020-11-10,11,Fully agreed. But at least diamond have some utility value unlike useless Bitcoin and 1000s of even more useless other shitcoins https://t.co/4fq7pvGaIl,Fully agreed. But at least diamond have some utility value unlike useless Bitcoin and 1000s of even more useless other shitcoins,0.1513,0.241,0.188,-0.185,0.335
2020-11-14,11,"The Bitcoin price manipulation keeps on going as it has for years now...Till law enforcement will crack-down once and for all on the biggest scam of all, i.e. Tether, a bigger scam than BitMex. That crack-down is now in the pipeline. https://t.co/t0tgrcQvtx","The Bitcoin price manipulation keeps on going as it has for years now...Till law enforcement will crack-down once and for all on the biggest scam of all, i.e. Tether, a bigger scam than BitMex. That crack-down is now in the pipeline.",-0.8625,0.0,0.202,0.0,0.5
2020-11-18,12,"The harder they rise, the harder they fall...remember 2018 vs 2017: from near 20K to near 3K....

Bitcoin rallies above $18,000 to trade near all-time highs https://t.co/htTWt1kMHC via ","The harder they rise, the harder they fall...remember 2018 vs 2017: from near 20K to near 3K....Bitcoin rallies above $18,000 to trade near all-time highs  via",0.0,0.0,0.0,0.016666666666666666,0.21666666666666667
2020-11-24,13,"Great thread! Summary of it: ""Bitfinex is a massive fraud, and Tether is a massive fraud, it's plain to see for anyone willing to take a quick peek."" So when SDNY finally cracks down on Tether/Bitfinex you will have Bitcoin's house of cards collapse! It is only a matter of time.. https://t.co/S9QxflaWMu","Great thread! Summary of it: ""Bitfinex is a massive fraud, and Tether is a massive fraud, it's plain to see for anyone willing to take a quick peek."" So when SDNY finally cracks down on Tether/Bitfinex you will have Bitcoin's house of cards collapse! It is only a matter of time..",-0.8011,0.087,0.191,0.13051146384479717,0.7384479717813052
2020-11-26,13,"13% down. Most manipulated asset ever. As I said they higher it goes the harder it will fall. FOMO-salivating retail suckers hoodwinked by manipulative whales will get shafted as in 2018!

Bitcoin slumps after rallying to all-time high https://t.co/d7zg5nRJ09 via ",13% down. Most manipulated asset ever. As I said they higher it goes the harder it will fall. FOMO-salivating retail suckers hoodwinked by manipulative whales will get shafted as in 2018!Bitcoin slumps after rallying to all-time high  via,-0.5728,0.061,0.143,0.04657407407407408,0.4381481481481482
