date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-03,1,"This is misleading. While gold declined, it fell much less than the market. Gold rose in value relative to stocks. #Bitcoin on the other hand fell much more than the market. For #gold owners stocks got cheaper. For Bitcoin owners they got more expensive.
https://t.co/XTybjujvT6","This is misleading. While gold declined, it fell much less than the market. Gold rose in value relative to stocks. #Bitcoin on the other hand fell much more than the market. For #gold owners stocks got cheaper. For Bitcoin owners they got more expensive.",0.4404,0.111,0.054,0.11547619047619048,0.4416666666666667
2020-09-03,1," The article compared gold and bitcoin to stocks. The two assets reacted very differently to today's selloff.  The article had that part wrong, which is why I called it out.","The article compared gold and bitcoin to stocks. The two assets reacted very differently to today's selloff.  The article had that part wrong, which is why I called it out.",-0.34,0.053,0.097,-0.25,0.8400000000000001
2020-09-04,1,  Selling #Bitcoin quickly was the smartest move his made yet.,Selling #Bitcoin quickly was the smartest move his made yet.,0.6124,0.308,0.0,0.3333333333333333,0.5
2020-09-06,1, #Bitcoin can just as easily be consolidating before the next breakdown. Consolidations after sharp moves typically continue the move that proceeds them. The more the 10K support level is tested the weaker it gets. Markets rarely give investors that many chances to buy the bottom.,#Bitcoin can just as easily be consolidating before the next breakdown. Consolidations after sharp moves typically continue the move that proceeds them. The more the 10K support level is tested the weaker it gets. Markets rarely give investors that many chances to buy the bottom.,0.5046,0.14,0.057,0.20595238095238094,0.569047619047619
2020-09-06,1,"  No, in this case the larger proceeding move was up, not down. Plus #gold is consolidating above its old highs. #Bitcoin is still well below its prior highs. If Bitcoin surges above $20K and then consolidates above $20k, it will be in a similar position to the one gold is in now.","No, in this case the larger proceeding move was up, not down. Plus #gold is consolidating above its old highs. #Bitcoin is still well below its prior highs. If Bitcoin surges above $20K and then consolidates above $20k, it will be in a similar position to the one gold is in now.",-0.0258,0.039,0.041,0.022222222222222227,0.21111111111111114
2020-09-06,1,"  I was right on #gold, but wrong on #Bitcoin. The latter did managed to get through resistance and rally up to $12K, thanks in large part to a ride on gold's coattails and a massive TV advertising buy by Grayscale. By falling back to $10K Bitcoin quickly returned to a bear market.","I was right on #gold, but wrong on #Bitcoin. The latter did managed to get through resistance and rally up to $12K, thanks in large part to a ride on gold's coattails and a massive TV advertising buy by Grayscale. By falling back to $10K Bitcoin quickly returned to a bear market.",-0.296,0.07,0.11,0.06666666666666667,0.44553571428571426
2020-09-06,1,  While your analysis of the problem is generally correct and well written your conclusion that #Bitcoin is a solution for investors is wrong. While mining #gold from oceans and space is inevitable as other supplies are exhausted the effects on future supply growth will be minimal.,While your analysis of the problem is generally correct and well written your conclusion that #Bitcoin is a solution for investors is wrong. While mining #gold from oceans and space is inevitable as other supplies are exhausted the effects on future supply growth will be minimal.,-0.3182,0.129,0.153,-0.15357142857142855,0.5999999999999999
2020-09-07,2,Against my advice my son  just bought even more #Bitcoin. Whose advice do you want to follow? A 57-year-old experienced investor/business owner who's been an investment professional for over 30 years or an 18-year-old college freshman who's never even had a job.,Against my advice my son  just bought even more #Bitcoin. Whose advice do you want to follow? A 57-year-old experienced investor/business owner who's been an investment professional for over 30 years or an 18-year-old college freshman who's never even had a job.,0.0772,0.032,0.0,0.46666666666666673,0.5
2020-09-07,2,  The peso or #Bitcoin? Not a very good choice.,The peso or #Bitcoin? Not a very good choice.,-0.3865,0.0,0.273,-0.26923076923076916,0.46153846153846156
2020-09-07,2,"  Not really. He's only 18. He does not have much money to blow on #Bitcoin, which is actually a very good thing. My concern is for older people who will lose a lot more, and who don't have enough years left to make back what the loss.","Not really. He's only 18. He does not have much money to blow on #Bitcoin, which is actually a very good thing. My concern is for older people who will lose a lot more, and who don't have enough years left to make back what the loss.",-0.204,0.064,0.1,0.22208333333333333,0.4141666666666667
2020-09-07,2,  All of my reasons for believing #Bitcoin will fail are good. You're just hoping it succeeds.,All of my reasons for believing #Bitcoin will fail are good. You're just hoping it succeeds.,0.6597,0.365,0.143,0.3,0.3333333333333333
2020-09-07,2, Not if you own #gold and #silver instead. They I'm short both U.S. dollars and #Bitcoin and long real money.,Not if you own #gold and #silver instead. They I'm short both U.S. dollars and #Bitcoin and long real money.,0.0,0.0,0.0,0.1875,0.5
2020-09-08,2,It should've been obvious that I was trolling with my poll. Those of you who fell for my publicity stunt should've used your time to sell your #Bitcoin and buy #gold. If you guys still need investment advice my 7-year-old son is free and my 4-year-old daughter has some ideas too.,It should've been obvious that I was trolling with my poll. Those of you who fell for my publicity stunt should've used your time to sell your #Bitcoin and buy #gold. If you guys still need investment advice my 7-year-old son is free and my 4-year-old daughter has some ideas too.,0.5106,0.063,0.0,0.2,0.65
