date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-04,1,I recently purchased some Tendies. So easy to buy/farm. Go to https://t.co/J7958Yu7ws.  Thank you  for this innovation! $TEND #eatmorchikin #Bitcoin,I recently purchased some Tendies. So easy to buy/farm. Go to   Thank you  for this innovation! $TEND #eatmorchikin #Bitcoin,0.8395,0.36,0.0,0.27083333333333337,0.5416666666666667
2020-09-07,2,  So your plan for squeezing stablecoin farmers into pumping bitcoin is to pump bitcoin hard af.,So your plan for squeezing stablecoin farmers into pumping bitcoin is to pump bitcoin hard af.,-0.1027,0.0,0.085,-0.2916666666666667,0.5416666666666666
2020-09-17,3,"While ' money party is going on, a dozen or so salty bitcoin maxis are glowering in the corner, grinding their teeth and muttering about hard money.","While ' money party is going on, a dozen or so salty bitcoin maxis are glowering in the corner, grinding their teeth and muttering about hard money.",0.3182,0.1,0.052,-0.2916666666666667,0.5416666666666666
2020-09-19,3," Was just talking to my mates about that. Seems like we've had to develop a new skill every year since I joined. Lowcap shitcoins, then OKC 20x, then LBTC, then scalping, then the ICO insta'sellout launches, then presales, then not adapting &amp; bleeding money, &amp; now defi &amp; farming.","Was just talking to my mates about that. Seems like we've had to develop a new skill every year since I joined. Lowcap shitcoins, then OKC 20x, then LBTC, then scalping, then the ICO insta'sellout launches, then presales, then not adapting &amp; bleeding money, &amp; now defi &amp; farming.",0.3612,0.052,0.0,0.13636363636363635,0.45454545454545453
2020-09-20,3,"""Daddy, why do Timmy &amp; Suzy live in a cardboard box?""

""Well my daughter, it's because their father trusted a weekend breakout.""

#Bitcoin https://t.co/sFaoOO5mOb","""Daddy, why do Timmy &amp; Suzy live in a cardboard box?""""Well my daughter, it's because their father trusted a weekend breakout.""#Bitcoin",0.6369,0.206,0.0,0.13636363636363635,0.5
2020-09-21,4,"Roger the #bitcoin maxi. 
Roger the #BitcoinCash maxi. 

Don't do $BCH kids. https://t.co/oNS5Kw3KwU",Roger the #bitcoin maxi. Roger the #BitcoinCash maxi. Don't do $BCH kids.,0.0,0.0,0.0,0.0,0.0
2020-09-22,4,A little hurt I wasn't included in few. I would've thrown in 1 or 2 BTC,A little hurt I wasn't included in few. I would've thrown in 1 or 2 BTC,-0.4779,0.0,0.237,-0.19375,0.3
2020-09-24,4,"""Jack you larp, how do you always have stablecoins to 'btfd'?""

I take all my profits into USDT.  My basis is always in USDT. $ETH and $BTC are just another trade for me. Long-term trades sometimes, but just another trade.

Done this for years, it's comfy. https://t.co/fpyq7RZBPL","""Jack you larp, how do you always have stablecoins to 'btfd'?""I take all my profits into USDT.  My basis is always in USDT. $ETH and $BTC are just another trade for me. Long-term trades sometimes, but just another trade.Done this for years, it's comfy.",0.2382,0.042,0.0,0.0,0.0
2020-09-24,4,   My only open position is short 50 BTC though (in the green).  Should still have like $2M below my limit. 2500 LINK isn't even close to that https://t.co/1U1KfSrNr9,My only open position is short 50 BTC though (in the green).  Should still have like $2M below my limit. 2500 LINK isn't even close to that,0.3612,0.085,0.0,-0.05,0.525
2020-09-24,4,"   This makes zero sense, lol. I have to close my BTC short to do that, which i'd rather not. But I'll give it a shot later, ty.","This makes zero sense, lol. I have to close my BTC short to do that, which i'd rather not. But I'll give it a shot later, ty.",0.6597,0.19,0.0,0.26666666666666666,0.3333333333333333
2020-09-28,5, Do you even altcoin bro? Bitcoin chopping for 30 weeks is the MOST desirable outcome.,Do you even altcoin bro? Bitcoin chopping for 30 weeks is the MOST desirable outcome.,0.5149,0.192,0.0,0.5,0.5
2020-09-28,5,"Within the last hour I closed my long-underwater $BTC short at $10,840, to long $MTA at $2.75.  

Rough night, lol.","Within the last hour I closed my long-underwater $BTC short at $10,840, to long $MTA at $2.75.  Rough night, lol.",0.4215,0.135,0.0,0.09166666666666667,0.3277777777777778
2020-10-02,5,"Bitmex exes on the lam, President Trump got the 'Rona, and #bitcoin is still at $10,500.

WHAT ELSE YOU GOT, 2020?!!  BRING IT! https://t.co/sn7LNsQAqM","Bitmex exes on the lam, President Trump got the 'Rona, and #bitcoin is still at $10,500.WHAT ELSE YOU GOT, 2020?!!  BRING IT!",0.0,0.0,0.0,0.0,0.0
2020-10-02,5, But what if they accept bitcoin?,But what if they accept bitcoin?,0.3818,0.342,0.0,0.0,0.0
2020-10-03,5,Longed #bitcoin here at 10540 for a scalp.,Longed #bitcoin here at 10540 for a scalp.,0.0,0.0,0.0,0.0,0.0
2020-10-04,5,"Just a weird psychological thing I realized today. I've had a lot more success scalping in USD vs. BTC.

Mentally, +$5k is an appealing win, whereas .5 BTC is boring to me. So when scalping with USD I tend to close more often–which is the key to successful scalping in chop.","Just a weird psychological thing I realized today. I've had a lot more success scalping in USD vs. BTC.Mentally, +$5k is an appealing win, whereas .5 BTC is boring to me. So when scalping with USD I tend to close more often–which is the key to successful scalping in chop.",0.8622,0.201,0.069,0.185,0.595
2020-10-04,5," So I'd been on Bybit (btc) for a yr'ish. Stopped btcusd trading a couple months ago to fully focus on uniswap. But FTX has a lot of defi coins, so I funded a (usdt) account there for hedging purposes.

And got sucked back into scalping btcusd there with my usdt account when bored","So I'd been on Bybit (btc) for a yr'ish. Stopped btcusd trading a couple months ago to fully focus on uniswap. But FTX has a lot of defi coins, so I funded a (usdt) account there for hedging purposes.And got sucked back into scalping btcusd there with my usdt account when bored",-0.7184,0.0,0.135,-0.25,0.5
