date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,Is $BTC the new $ETH?,Is $BTC the new $ETH?,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
2020-09-01,1,"Chad #DeFi programmers code up new ways for their tokens to pump.

Virgin #bitcoin holders wait for the halving to pump their coins.",Chad #DeFi programmers code up new ways for their tokens to pump.Virgin #bitcoin holders wait for the halving to pump their coins.,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
2020-09-03,1,This is the $DOT / $BTC chart btw https://t.co/nxjQByXQpF,This is the $DOT / $BTC chart btw,0.0,0.0,0.0,0.0,0.0
2020-09-03,1,"Why am I suddenly talking about $DOT?

DOT is (presumably) so bullish, it's decorrelating from the broader market. 

In the midst of a market wide sell off, the DOT / BTC ratio chart shows incredible strength - it looks ready to blast off. https://t.co/olezPwlQIu","Why am I suddenly talking about $DOT?DOT is (presumably) so bullish, it's decorrelating from the broader market. In the midst of a market wide sell off, the DOT / BTC ratio chart shows incredible strength - it looks ready to blast off.",0.6908,0.13,0.0,0.25,0.575
2020-09-03,1," $BASED is pure. Research into the project. Like Bitcoin, $BASED is fair and equal opportunity. 

I've never felt stronger fundamentally about a project. The code is set, but the building has just begun.

There can be no exit scam. The blockchain can't be alterred.","$BASED is pure. Research into the project. Like Bitcoin, $BASED is fair and equal opportunity. I've never felt stronger fundamentally about a project. The code is set, but the building has just begun.There can be no exit scam. The blockchain can't be alterred.",-0.7304,0.102,0.182,0.30476190476190473,0.5499999999999999
2020-09-03,1,We're going to pump $BTC next,We're going to pump $BTC next,0.0,0.0,0.0,0.0,0.0
2020-09-03,1,"#Ethereum is as every much a religion as Bitcoin.

Don't bet against religion.",#Ethereum is as every much a religion as Bitcoin.Don't bet against religion.,0.0,0.0,0.0,0.2,0.2
2020-09-04,1,$TRX / $BTC https://t.co/k1Tn9zJXpo,$TRX / $BTC,0.0,0.0,0.0,0.0,0.0
2020-09-05,1, Someone has to hold btc,Someone has to hold btc,0.0,0.0,0.0,0.0,0.0
2020-09-06,1,$BASED and $BTC have a lot in common https://t.co/eXFGAzmRHy,$BASED and $BTC have a lot in common,0.0,0.0,0.0,-0.3,0.5
2020-09-07,2,"Well, you know what happens if bears can't break $10k $btc.","Well, you know what happens if bears can't break $10k $btc.",0.2732,0.174,0.0,0.0,0.0
2020-09-08,2,Do we give Portnoy a hard time if stocks die and $BTC holds 10k?,Do we give Portnoy a hard time if stocks die and $BTC holds 10k?,-0.6486,0.0,0.325,-0.2916666666666667,0.5416666666666666
2020-09-09,2,"Pretty straightforward $BTC long, doesn't look like bears can keep us down https://t.co/iFm1Av6CTe","Pretty straightforward $BTC long, doesn't look like bears can keep us down",0.2709,0.196,0.129,0.1048611111111111,0.5159722222222222
2020-09-09,2,"What if this was all a dream? What if I never held any Bitcoin, I never got into Cypto Twitter. 

I wake up and it's 8am, time to get ready for work. Breakfast - Western food, milk and cereal. Quick shower and don my professional attire, then off to work. 

Yeesh. How terrifying.","What if this was all a dream? What if I never held any Bitcoin, I never got into Cypto Twitter. I wake up and it's 8am, time to get ready for work. Breakfast - Western food, milk and cereal. Quick shower and don my professional attire, then off to work. Yeesh. How terrifying.",-0.0516,0.085,0.07,-0.07333333333333333,0.42000000000000004
2020-09-09,2," To be fair man I never owned large amounts of Bitcoin (well I did, but I sold it for $10 and below) to retire myself. But Bitcoin got me into this space and being involved and active in this space is what saves me from 9-5","To be fair man I never owned large amounts of Bitcoin (well I did, but I sold it for $10 and below) to retire myself. But Bitcoin got me into this space and being involved and active in this space is what saves me from 9-5",0.6369,0.113,0.0,0.26031746031746034,0.6428571428571428
