date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,"My  presentation on what is ""Sufficient Decentralization"" and what separates #Bitcoin from the rest.
Article on this out next week. Watch Full Video from #bitblockboom here:
https://t.co/3ujIPCNGth https://t.co/yMlPteEIyJ","My  presentation on what is ""Sufficient Decentralization"" and what separates #Bitcoin from the rest.Article on this out next week. Watch Full Video from #bitblockboom here:",0.0,0.0,0.0,0.175,0.275
2020-09-01,1,"#Bitcoin Brief w/  &amp;  - #BCash Fork Update, #Monero not Private, $ETH Fees, $INX Armies &amp;  $BTC Fund
https://t.co/hcc5Y6LJeE","#Bitcoin Brief w/  &amp;  - #BCash Fork Update, #Monero not Private, $ETH Fees, $INX Armies &amp;  $BTC Fund",0.0,0.0,0.0,0.0,0.35416666666666663
2020-09-02,1,"Trading #Bitcoin with special guest  of https://t.co/Afyhgb7lxO to talk the overall $BTC market:
From how high he think this Bull can go and how bad can this pullback get as  seems to be in some trouble.
LIVE Top of the Hour: https://t.co/B7lHZpguUK",Trading #Bitcoin with special guest  of  to talk the overall $BTC market:From how high he think this Bull can go and how bad can this pullback get as  seems to be in some trouble.LIVE Top of the Hour:,-0.4019,0.092,0.127,0.03621521335807052,0.4254421768707482
2020-09-03,1,"Trading #Bitcoin - $BTC Still Pulling Back, Is $10k Still Safe?
https://t.co/kzSFi938G1","Trading #Bitcoin - $BTC Still Pulling Back, Is $10k Still Safe?",0.4404,0.225,0.0,0.25,0.25
2020-09-04,1,"It baffles the mind how $LTC &amp; $BCH products from Grayscale were trading at close to 1000x premium to spot. A legit #Bitcoin ETF is also badly needed.
See full video: https://t.co/hcc5Y6LJeE https://t.co/MbvF3bFKd7",It baffles the mind how $LTC &amp; $BCH products from Grayscale were trading at close to 1000x premium to spot. A legit #Bitcoin ETF is also badly needed.See full video:,-0.4767,0.0,0.091,-0.17499999999999993,0.6083333333333334
2020-09-04,1,"Years ago I suggested that the name #BCash should be changed to:
#CCash when price drops under 0.03 $BTC
#DCash when price drops under 0.02 #Bitcoin
#FCash when price drops under 0.01

Congratulation $BCH on this amazing milestone today 👍 https://t.co/mcaWwJqc1m",Years ago I suggested that the name #BCash should be changed to:#CCash when price drops under 0.03 $BTC#DCash when price drops under 0.02 #Bitcoin#FCash when price drops under 0.01Congratulation $BCH on this amazing milestone today 👍,0.8555,0.185,0.0,0.6000000000000001,0.9
2020-09-04,1,"Trading #Bitcoin - Big $SPX Drop, $BTC Holds $10K
https://t.co/23sml7nyvj","Trading #Bitcoin - Big $SPX Drop, $BTC Holds $10K",-0.2732,0.0,0.208,0.0,0.1
2020-09-05,1,Hey . Are you highlighting &amp; praising the ethics of #Bitcoin Core devs to sway the $BCH vote in the November Hard Fork election 🤔 https://t.co/XwArQ1zUwx,Hey . Are you highlighting &amp; praising the ethics of #Bitcoin Core devs to sway the $BCH vote in the November Hard Fork election 🤔,0.4767,0.13,0.052,-0.2916666666666667,0.5416666666666666
2020-09-05,1,"I am expecting this year to provide the last sub $10k #Bitcoin ""Buy the Dip"". Realistically, it should be around $9k, but as low as $7k. $5k is unlikely and here is why:
Full Video: https://t.co/23sml7nyvj https://t.co/0k9axdoBcV","I am expecting this year to provide the last sub $10k #Bitcoin ""Buy the Dip"". Realistically, it should be around $9k, but as low as $7k. $5k is unlikely and here is why:Full Video:",-0.3919,0.0,0.07,-0.037500000000000006,0.3541666666666667
2020-09-05,1,"So  just suspended/locked my bank account and disabled my mobile login because I sent a $2,000 transaction via Chase QuickPay / Zalle.
Customer Service takes hours on hold due to Covid!
#FuckBanks use #Bitcoin! https://t.co/asJIgzFSHN","So  just suspended/locked my bank account and disabled my mobile login because I sent a $2,000 transaction via Chase QuickPay / Zalle.Customer Service takes hours on hold due to Covid!#FuckBanks use #Bitcoin!",0.0,0.0,0.0,-0.19765625,0.3375
2020-09-06,1,"Trading #Bitcoin -  $10K Still Holding, but for How long
https://t.co/xVeC9dd9vr","Trading #Bitcoin -  $10K Still Holding, but for How long",0.0,0.0,0.0,-0.05,0.4
2020-09-06,1, #Bitcoin fixes this: #Unconfiscatable,#Bitcoin fixes this: #Unconfiscatable,0.0,0.0,0.0,0.0,0.0
2020-09-06,1,#Bitcoin fixes this: #Unconfiscatable https://t.co/bcyv62OOfU,#Bitcoin fixes this: #Unconfiscatable,0.0,0.0,0.0,0.0,0.0
2020-09-07,2,"Trading #Bitcoin -  $10K Now Holding On By a Thread. Is $BTC still headed for $9K or lower? Let's look at the charts:
https://t.co/93cpKknbx1",Trading #Bitcoin -  $10K Now Holding On By a Thread. Is $BTC still headed for $9K or lower? Let's look at the charts:,-0.296,0.0,0.095,0.0,0.0
2020-09-07,2,This week in #Bitcoin recap w/  &amp;  https://t.co/Ihae6hIRDt,This week in #Bitcoin recap w/  &amp;,0.0,0.0,0.0,0.0,0.0
