date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,"Only saw a few traders catch onto this last night.  &amp;  were both on it.

$XAU breakout higher led the move and Bitcoin followed up a few hours later.

Keep your eye on that going forward instead of stocks if you like playing the correlation trade. https://t.co/rgB2S8Glor",Only saw a few traders catch onto this last night.  &amp;  were both on it.$XAU breakout higher led the move and Bitcoin followed up a few hours later.Keep your eye on that going forward instead of stocks if you like playing the correlation trade.,0.5106,0.091,0.0,-0.025000000000000005,0.29444444444444445
2020-09-02,1,"If we all agree Bitcoin is money, what is wrapped Bitcoin?","If we all agree Bitcoin is money, what is wrapped Bitcoin?",0.3612,0.2,0.0,0.0,0.0
2020-09-08,2,"I know that $BTC &amp; stonks both look like trash from a technical perspective right now.

But *if* gold can stop dumping and reclaim the 1980 level I would expect Bitcoin to start reversing the dump as well.

Dollar &amp; Gold have been a better guide than stocks lately. https://t.co/EBNd3SA2rV",I know that $BTC &amp; stonks both look like trash from a technical perspective right now.But *if* gold can stop dumping and reclaim the 1980 level I would expect Bitcoin to start reversing the dump as well.Dollar &amp; Gold have been a better guide than stocks lately.,0.1027,0.137,0.13,0.12142857142857143,0.43392857142857144
2020-09-08,2,Alpha leak: 4-digit $BTC is a better buy than 5-digit $BTC,Alpha leak: 4-digit $BTC is a better buy than 5-digit $BTC,0.128,0.218,0.18,0.5,0.5
2020-09-08,2,No need for coffee when you're trading $BTC...the 5% move in a 1-minute candle does the trick everytime. https://t.co/Ih8UuX8miT,No need for coffee when you're trading $BTC...the 5% move in a 1-minute candle does the trick everytime.,-0.34,0.0,0.175,0.0,0.0
2020-09-09,2,"Refreshing to see someone explain the ""why Bitcoin?"" question so well on a massive stage:

•Censorship resistant
•Store of value
•Scarce asset vs endless fiat money printing

 dropping facts on JRE https://t.co/17c8l8dpMB","Refreshing to see someone explain the ""why Bitcoin?"" question so well on a massive stage:•Censorship resistant•Store of value•Scarce asset vs endless fiat money printing dropping facts on JRE",0.7678,0.214,0.0,0.125,0.9166666666666666
2020-09-09,2,"  impossible to know what he means but i interpret that as ""the market has decided that Bitcoin is money""

there are alts/digital assets that can do different things entirely but btc is by itself in that regard","impossible to know what he means but i interpret that as ""the market has decided that Bitcoin is money""there are alts/digital assets that can do different things entirely but btc is by itself in that regard",0.2617,0.055,0.0,-0.2222222222222222,0.7416666666666667
2020-09-11,2,"On Thursdays we play a poker &amp; talk crypto, $BTC, markets, defi....like a live-podcast with a full Bitcoin up for grabs.

Come hangout and I'll throw any questions to the group: https://t.co/MITrRlS0st","On Thursdays we play a poker &amp; talk crypto, $BTC, markets, defi....like a live-podcast with a full Bitcoin up for grabs.Come hangout and I'll throw any questions to the group:",0.34,0.079,0.0,0.35,0.55
2020-09-14,3,waking up Monday morning is easier when the market is starting to tilt green $btc,waking up Monday morning is easier when the market is starting to tilt green $btc,0.4215,0.167,0.0,-0.1,0.2
2020-09-14,3,If you want to understand how you can use the gold/dollar charts to your favor when trading $BTC I made a quick video explaining the recent relationship: https://t.co/QHtriODn80,If you want to understand how you can use the gold/dollar charts to your favor when trading $BTC I made a quick video explaining the recent relationship:,0.4588,0.143,0.0,0.16666666666666666,0.375
2020-09-15,3,"At the rate  is buying $BTC, we won’t need a Bitcoin ETF to be approved by the SEC. 

They now hold almost half a billion dollars of Bitcoin. https://t.co/w591G1IJFJ","At the rate  is buying $BTC, we won’t need a Bitcoin ETF to be approved by the SEC. They now hold almost half a billion dollars of Bitcoin.",0.4215,0.097,0.0,-0.13333333333333333,0.3833333333333333
2020-09-15,3,"One thing to remember if using gold/stock moves to influence your $BTC outlook:

""These spurious correlations where one week you're correlated to THIS and one week to THAT...that's the definition of uncorrelated. It comes and goes just as fast.""

Watch: https://t.co/Es2YDhjIOH https://t.co/pZQWmf5X3G","One thing to remember if using gold/stock moves to influence your $BTC outlook:""These spurious correlations where one week you're correlated to THIS and one week to THAT...that's the definition of uncorrelated. It comes and goes just as fast.""Watch:",0.0,0.0,0.0,0.2,0.6
2020-09-15,3,"With altcoins taking a backseat to $BTC so far this week it's actually kinda refreshing to not have to track what sushi-link-yfi-ampl-based-shit is pumping. 

Long $BTC and chill is a good change of pace.",With altcoins taking a backseat to $BTC so far this week it's actually kinda refreshing to not have to track what sushi-link-yfi-ampl-based-shit is pumping. Long $BTC and chill is a good change of pace.,0.4404,0.086,0.0,0.25,0.62
2020-09-16,3,"      have a feeling that a lot more people are going to be asking the “what is wrapped bitcoin question”

(because i had the same thought as the OP not long ago)",have a feeling that a lot more people are going to be asking the “what is wrapped bitcoin question”(because i had the same thought as the OP not long ago),0.128,0.053,0.0,0.17500000000000002,0.3416666666666666
2020-09-16,3,"This chart has been an excellent guide recently for $BTC.

•Look at the chart from the first tweet ⤴️
•Look at the chart now ⤵️

If we clear this level then I expect Bitcoin to move higher at a much faster pace. https://t.co/yKpNWLOEBZ",This chart has been an excellent guide recently for $BTC.•Look at the chart from the first tweet ⤴️•Look at the chart now ⤵️If we clear this level then I expect Bitcoin to move higher at a much faster pace.,0.743,0.139,0.0,0.3,0.4444444444444445
