date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,"positons atm 
please dont dump on me 
$bnb $btc $eth $dot 
https://t.co/sBSG2q5Czj
#brrrBROTHERS https://t.co/gLxTkNjmVe",positons atm please dont dump on me $bnb $btc $eth $dot #brrrBROTHERS,0.5399,0.272,0.0,0.0,0.0
2020-09-01,1,"Sir .. $srm 
Note $dmme is not here is is separate place /also more btc and eth in safu place https://t.co/SBnUdiepkb",Sir .. $srm Note $dmme is not here is is separate place /also more btc and eth in safu place,0.0,0.0,0.0,0.5,0.5
2020-09-01,1,      well short btc wasn't that profitable from march,well short btc wasn't that profitable from march,-0.0788,0.2,0.229,0.0,0.3
2020-09-02,1,"market reactions (on different levels) b sutame patterns/market reactions 
btc= alts 
1:1 so will be better to trade btc volatility than alts 
we get less slippage /less funding fees /more liquidity 
there is way more data to take a look https://t.co/ax5h0T0sZB",market reactions (on different levels) b sutame patterns/market reactions btc= alts 1:1 so will be better to trade btc volatility than alts we get less slippage /less funding fees /more liquidity there is way more data to take a look,0.4877,0.077,0.0,0.20833333333333334,0.4166666666666667
2020-09-03,1,"$7 x $dot you will pay later today and 
10$x $dot in 2 days if btc dont shit the bed",$7 x $dot you will pay later today and 10$x $dot in 2 days if btc dont shit the bed,0.3662,0.144,0.069,-0.1,0.4
2020-09-05,1,"eth already giving up and btc even starte to dump hard yet 
oil mode",eth already giving up and btc even starte to dump hard yet oil mode,-0.1531,0.138,0.23,-0.2916666666666667,0.5416666666666666
2020-09-05,1," eth 
320 /290 algo asi 
btc 9800 /9200 zone 
no se algo asi tiambien hasta menos",eth 320 /290 algo asi btc 9800 /9200 zone no se algo asi tiambien hasta menos,-0.296,0.0,0.128,0.0,0.0
2020-09-05,1,"$sol $srm $ftt  $eth $btc $usdt
nothing else needed 
long term aproach to this world",$sol $srm $ftt  $eth $btc $usdtnothing else needed long term aproach to this world,0.0,0.0,0.0,-0.05,0.4
2020-09-05,1,"/2 
$ftt is like having soem shares of  lower fees coin burn and tikets fro #ieos etc
$eth defi / eth 2.0  staking 
$btc as a world crypto exposure 
$usdt perfect balance fro your mental health 
you stake it and have fun https://t.co/5mcgo2edgF",/2 $ftt is like having soem shares of  lower fees coin burn and tikets fro #ieos etc$eth defi / eth 2.0  staking $btc as a world crypto exposure $usdt perfect balance fro your mental health you stake it and have fun,0.8591,0.234,0.044,0.39999999999999997,0.4666666666666666
2020-09-07,2," i scaled $sushi 3 times (2 yesterday 1 today )now I'm short btc 
$ https://t.co/jRTd6fZqMC",i scaled $sushi 3 times (2 yesterday 1 today )now I'm short btc $,0.0,0.0,0.0,0.0,0.3
2020-09-07,2,oke is time $btc https://t.co/WtN8VBYid7,oke is time $btc,0.0,0.0,0.0,0.0,0.0
2020-09-07,2," why squeezing them 
better to build a btc (farming machine )",why squeezing them better to build a btc (farming machine ),0.4404,0.266,0.0,0.5,0.5
2020-09-08,2,"if #BTC doesn't fukeries 
we will have plenty of time ranging from 10100 area to max
11200 more likely  from 10050 to 10800 
is 8% range really good for play 
let see how it start to develop https://t.co/3tJsp1VgSS",if #BTC doesn't fukeries we will have plenty of time ranging from 10100 area to max11200 more likely  from 10050 to 10800 is 8% range really good for play let see how it start to develop,0.7056,0.14,0.0,0.39999999999999997,0.7000000000000001
2020-09-08,2,"you dont gonna believe me but 
$sushi dropped less than btc on this bloody day lol 
#sushimaxi https://t.co/ZjaJ2Qmlti",you dont gonna believe me but $sushi dropped less than btc on this bloody day lol #sushimaxi,-0.2174,0.152,0.188,-0.055555555555555546,0.5555555555555555
2020-09-11,2," https://t.co/GZwUyBoqND
the market is in usdt can send etyh or btc then sell then fro usdt and buy $rvx",the market is in usdt can send etyh or btc then sell then fro usdt and buy $rvx,0.0,0.0,0.0,0.0,0.0
2020-09-12,2,"#btc 
#corn 🌽
be ready https://t.co/YDpnYS1Xz0",#btc #corn 🌽be ready,0.3612,0.385,0.0,0.2,0.5
2020-09-12,2,"it make sense to you ? 
repply sir 
#btc https://t.co/GY5wWzlkNi",it make sense to you ? repply sir #btc,0.0,0.0,0.0,0.0,0.0
2020-09-12,2, https://t.co/S3cz4uDbCj plus on  and hitbtc,plus on  and hitbtc,0.0,0.0,0.0,0.0,0.0
2020-09-12,2,"actual postions
https://t.co/mY0wMvMag3
$defi
$ada
$eth
$btc https://t.co/vwoV6HRxOr",actual postions$defi$ada$eth$btc,0.0,0.0,0.0,0.0,0.1
2020-09-12,2,"reeeeeeeeeeeee 
btc shiting the bed even when there is no need https://t.co/kUbBisV9DD",reeeeeeeeeeeee btc shiting the bed even when there is no need,-0.296,0.0,0.167,0.0,0.0
2020-09-12,2, tell that to btc,tell that to btc,0.0,0.0,0.0,0.0,0.0
