date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-02,1,"#bitcoin is not dead and certainly not going to 0. 

Don't panic!",#bitcoin is not dead and certainly not going to 0. Don't panic!,0.6597,0.368,0.117,-0.01696428571428571,0.4857142857142857
2020-09-21,4,Is #bitcoin dead again? 😂,Is #bitcoin dead again? 😂,-0.6486,0.0,0.589,-0.2,0.4
2020-10-08,6,These early companies investing in #bitcoin will be handsomely rewarded in the long run. 👏 https://t.co/oaSA6JrfUH,These early companies investing in #bitcoin will be handsomely rewarded in the long run. 👏,0.7269,0.319,0.0,0.18333333333333332,0.5666666666666668
2020-10-08,6,Who's going to be the 3rd public company to hold #bitcoin in treasury?,Who's going to be the 3rd public company to hold #bitcoin in treasury?,0.2023,0.13,0.0,0.0,0.03333333333333333
2020-10-13,7,Stone Ridge Reveals $115 Million Bitcoin Investment As Part Of Billion-Dollar Spin-Off https://t.co/e9EPKMJoE7,Stone Ridge Reveals $115 Million Bitcoin Investment As Part Of Billion-Dollar Spin-Off,0.0,0.0,0.0,0.0,0.0
2020-10-15,7,"Even the Rothschilds have to BUY #bitcoin.

https://t.co/erDDhlAmMP",Even the Rothschilds have to BUY #bitcoin.,0.0,0.0,0.0,0.0,0.0
2020-10-17,7,  #bitcoin is less painful to carry. 😂,#bitcoin is less painful to carry. 😂,-0.3832,0.0,0.343,-0.4333333333333333,0.48333333333333334
2020-10-20,8,#bitcoin is king! https://t.co/bAvRAe5uZa,#bitcoin is king!,0.0,0.0,0.0,0.0,0.0
2020-10-23,8,I remember people saying this when #bitcoin is $130. https://t.co/sFHoByKQB8,I remember people saying this when #bitcoin is $130.,0.0,0.0,0.0,0.0,0.0
2020-10-23,8,1 BTC = 1 BTC. It's just fiat dropping.,1 BTC = 1 BTC. It's just fiat dropping.,0.0,0.0,0.0,0.0,0.0
2020-10-27,9,"DBS, the largest retail and commercial bank in Singapore, has soft launched their crypto/fiat trading exchange.

Not sure if the #BTC is transferrable yet, but regardless a step in the right direction. https://t.co/e9Sommp5iS","DBS, the largest retail and commercial bank in Singapore, has soft launched their crypto/fiat trading exchange.Not sure if the #BTC is transferrable yet, but regardless a step in the right direction.",-0.0595,0.038,0.045,0.033928571428571426,0.44365079365079363
2020-10-29,9,"Every time people talk about gold, I think of the other article... 😂

#bitcoin is much better. https://t.co/1lEjJWVqmD","Every time people talk about gold, I think of the other article... 😂#bitcoin is much better.",0.4404,0.162,0.0,0.1875,0.4375
2020-10-31,9,"#Bitcoin was conceived (not born) 12 years ago on this day. A 9 page white paper evolved into $250 billion dollars in market cap today, with no fund raising, no marketing budget, no office, and no paid staff.","#Bitcoin was conceived (not born) 12 years ago on this day. A 9 page white paper evolved into $250 billion dollars in market cap today, with no fund raising, no marketing budget, no office, and no paid staff.",-0.7783,0.0,0.216,0.0,0.0
2020-11-05,10,#Bitcoin says to #DeFi: hold my beers.,#Bitcoin says to #DeFi: hold my beers.,0.0,0.0,0.0,0.0,0.0
2020-11-11,11,"Don’t try to fight the future, just go along with it.

#btc #bnb","Don’t try to fight the future, just go along with it.#btc #bnb",-0.3818,0.0,0.178,0.0,0.125
2020-11-15,11,"A US Senator and former state treasurer is personally holding #bitcoin.

How about you? https://t.co/W2yDWJHMVO",A US Senator and former state treasurer is personally holding #bitcoin.How about you?,0.128,0.103,0.0,0.0,0.15
2020-11-16,12,"CitiBank MD, and former FX technician, Tom Fitzpatrick, points out distinct analogies between the 1970 gold market and Bitcoin in his latest report, “Bitcoin: 21st Century Gold.” His price prediction chart sees Bitcoin price at $318,000 by December 2021.

https://t.co/A4X4kvmy6J","CitiBank MD, and former FX technician, Tom Fitzpatrick, points out distinct analogies between the 1970 gold market and Bitcoin in his latest report, “Bitcoin: 21st Century Gold.” His price prediction chart sees Bitcoin price at $318,000 by December 2021.",0.0,0.0,0.0,0.2,0.3
2020-11-17,12,"#bitcoin is dead.

!⃝    𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱",#bitcoin is dead.!⃝    𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱,-0.68,0.0,0.396,-0.25,0.4
2020-11-18,12,"Soon, you might to have slap yourself for selling #bitcoin, ever.

(not financial advice) https://t.co/gy1UEv50ui","Soon, you might to have slap yourself for selling #bitcoin, ever.(not financial advice)",0.1531,0.103,0.0,0.0,0.0
2020-11-20,12,"Comments?

SoftBank CEO said he doesn't understand bitcoin, sold stake with $130m loss - Business Insider https://t.co/a5Wn4Jgb6z","Comments?SoftBank CEO said he doesn't understand bitcoin, sold stake with $130m loss - Business Insider",-0.3182,0.0,0.133,0.0,0.0
2020-11-21,12,"Just the beginning

 » Corporate Bitcoin frenzy: Companies now hold $15.3 billion in BTC https://t.co/DfvaxwlNQu",Just the beginning » Corporate Bitcoin frenzy: Companies now hold $15.3 billion in BTC,-0.3182,0.0,0.15,0.0,0.0
2020-11-23,13,"Once it hits your lips...

#Bitcoin https://t.co/RK8KslrUvd",Once it hits your lips...#Bitcoin,0.0,0.0,0.0,0.0,0.0
2020-11-25,13,"Wonder how many #Bitcoin she has.

https://t.co/1MlSn16cLm",Wonder how many #Bitcoin she has.,0.0,0.0,0.0,0.5,0.5
2020-11-27,13,#bitcoin is not going anywhere. It will be here for a while.,#bitcoin is not going anywhere. It will be here for a while.,0.0,0.0,0.0,0.0,0.0
2020-11-27,13,"I kinda wish  to tweet more about #bitcoin, positively. 😆","I kinda wish  to tweet more about #bitcoin, positively. 😆",0.7245,0.503,0.0,0.36363636363636365,0.5227272727272727
