date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-12,2,"    You want to own Bitcoin (for the sovereignty aspect) and not have the volatility? If the timeframe is relatively short, just hold stable coin like DAI or USDC instead. Those have risks BTC doesn’t, but zero volatility short term.","You want to own Bitcoin (for the sovereignty aspect) and not have the volatility? If the timeframe is relatively short, just hold stable coin like DAI or USDC instead. Those have risks BTC doesn’t, but zero volatility short term.",0.2382,0.11,0.038,0.19999999999999998,0.5333333333333333
2020-09-16,3,Wrapped BTC is a bearer instrument for a real BTC.  It is not so different than the BTC you hold at Coinbase or Kraken or any other custodian (those are also simply claims for real BTC)... except that it's generally more decentralized and doesn't suffer KYC restrictions. https://t.co/PX3Tjl6Zcn,Wrapped BTC is a bearer instrument for a real BTC.  It is not so different than the BTC you hold at Coinbase or Kraken or any other custodian (those are also simply claims for real BTC)... except that it's generally more decentralized and doesn't suffer KYC restrictions.,0.431,0.06,0.0,0.12916666666666668,0.4053571428571428
2020-09-16,3," To be clear, there are many types of ""wrapped bitcoin"" and so the specific parameters depend on the specific project. Generally though, yes, it's backed 1:1 with real BTC (and often in a more verifiable way than BTC held at a custodian).","To be clear, there are many types of ""wrapped bitcoin"" and so the specific parameters depend on the specific project. Generally though, yes, it's backed 1:1 with real BTC (and often in a more verifiable way than BTC held at a custodian).",0.6597,0.147,0.0,0.19285714285714287,0.34761904761904766
2020-09-16,3," Native BTC doesn't work on the Ethereum blockchain, meaning it doesn't work in any of the Ethereum smart contracts or services.  Imagine a smart contract that accepts wrapped BTC as collateral and lends Tether... that'd give you a fiat loan against your Bitcoin.","Native BTC doesn't work on the Ethereum blockchain, meaning it doesn't work in any of the Ethereum smart contracts or services.  Imagine a smart contract that accepts wrapped BTC as collateral and lends Tether... that'd give you a fiat loan against your Bitcoin.",0.7717,0.168,0.0,0.21428571428571427,0.6428571428571429
2020-09-16,3," Yes it has risk. Just like if you have Bitcoin at Coinbase and it's stolen or frozen, etc.","Yes it has risk. Just like if you have Bitcoin at Coinbase and it's stolen or frozen, etc.",-0.0258,0.212,0.216,0.0,0.0
2020-09-16,3, Depends which version of wrapped BTC you’re referring to. The original wBTC is but one of many now.,Depends which version of wrapped BTC you’re referring to. The original wBTC is but one of many now.,0.1655,0.088,0.0,0.4375,0.625
2020-09-17,3, ...but you can buy/sell wBTC from Uniswap right now with no KYC,...but you can buy/sell wBTC from Uniswap right now with no KYC,-0.296,0.0,0.167,0.2857142857142857,0.5357142857142857
2020-09-18,3, So ETH is a security even though SEC has said it's not eh?  And Litecoin is a security even though it's similar to BTC across all the material securities-related attributes? And USDC is a security even though lawyered-to-the-max Coinbase sells it sans securities license?,So ETH is a security even though SEC has said it's not eh?  And Litecoin is a security even though it's similar to BTC across all the material securities-related attributes? And USDC is a security even though lawyered-to-the-max Coinbase sells it sans securities license?,0.8668,0.225,0.0,-0.05,0.5
2020-09-18,3, Are you saying Satoshi issued the first such security?,Are you saying Satoshi issued the first such security?,0.34,0.231,0.0,0.125,0.41666666666666663
2020-09-18,3," No value? He had just issued one of the most tremendously valuable things ever created.  

The price wasn't established yet, making it absolutely perfect for speculation, and before much of the world had caught on, Satoshi had hundreds of thousands (millions?) of coins.","No value? He had just issued one of the most tremendously valuable things ever created.  The price wasn't established yet, making it absolutely perfect for speculation, and before much of the world had caught on, Satoshi had hundreds of thousands (millions?) of coins.",0.8813,0.236,0.042,0.5083333333333333,0.675
