date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,"Like all good decisions, holding #Bitcoin just looks better with time.","Like all good decisions, holding #Bitcoin just looks better with time.",0.8074,0.509,0.0,0.6,0.55
2020-09-03,1,"Episode 8 of #Bitcoin Fixes This. I talk to  about self-sovereignty, cypherpunk ethic and Bitcoin's role in conserving our freedoms

https://t.co/FIgyNURY5L https://t.co/JIxckHsLbL","Episode 8 of #Bitcoin Fixes This. I talk to  about self-sovereignty, cypherpunk ethic and Bitcoin's role in conserving our freedoms",0.296,0.104,0.0,0.0,0.0
2020-09-04,1,Who are some Bitcoiners that people don't know are Bitcoiners?,Who are some Bitcoiners that people don't know are Bitcoiners?,0.0,0.0,0.0,0.0,0.0
2020-09-05,1,"Plot twist: After robot kills Satoshi, the robot realizes the evil that the Fed represents, assumes Satoshi's identity and creates Bitcoin. https://t.co/EgipvuqKoo","Plot twist: After robot kills Satoshi, the robot realizes the evil that the Fed represents, assumes Satoshi's identity and creates Bitcoin.",-0.7783,0.072,0.272,-1.0,1.0
2020-09-05,1,"#Bitcoin is 90% saving, 10% gambling
altcoins are 90% gambling, 10% saving

few understand this","#Bitcoin is 90% saving, 10% gamblingaltcoins are 90% gambling, 10% savingfew understand this",0.0,0.0,0.0,-0.2,0.1
2020-09-06,1,"#Bitcoin has a functioning immune system, altcoins do not.","#Bitcoin has a functioning immune system, altcoins do not.",0.296,0.239,0.0,0.0,0.0
2020-09-06,1,  #Bitcoin is the wild west. There's plenty of room.,#Bitcoin is the wild west. There's plenty of room.,0.0,0.0,0.0,0.1,0.4
2020-09-07,2,"I want to express my appreciation for     and meshcollider who have the hard job of maintaining Bitcoin Core.

Being an open source developer is often a thankless job with lots of people complaining, so show them some love.","I want to express my appreciation for     and meshcollider who have the hard job of maintaining Bitcoin Core.Being an open source developer is often a thankless job with lots of people complaining, so show them some love.",0.765,0.205,0.074,0.06944444444444443,0.5472222222222222
2020-09-07,2,"DeFi is the latest craze created from envy, 's multisig guide, Bitcoin dev tool sapio, mempool marketplace, price manipulation from the fed and more!
Bitcoin Tech Talk Issue #204

https://t.co/F3QOsPr9tz","DeFi is the latest craze created from envy, 's multisig guide, Bitcoin dev tool sapio, mempool marketplace, price manipulation from the fed and more!Bitcoin Tech Talk Issue #204",-0.4926,0.058,0.181,0.5625,0.7
2020-09-07,2,#Bitcoin got a little more antifragile today.,#Bitcoin got a little more antifragile today.,0.0,0.0,0.0,0.15625,0.5
2020-09-08,2,DeFi-mania is just the latest stupidity arising from #Bitcoin envy.,DeFi-mania is just the latest stupidity arising from #Bitcoin envy.,-0.6124,0.0,0.385,-0.04999999999999999,0.95
2020-09-10,2,"#Bitcoin Fixes This Episode #9: Listener Questions! Everything from Communism to Quantum Computing.

https://t.co/t22lnyZSQx",#Bitcoin Fixes This Episode #9: Listener Questions! Everything from Communism to Quantum Computing.,0.0,0.0,0.0,0.0,0.0
2020-09-11,2,"Synthetic BTC = Synthetic Meat

Artificial, dangerous and smells weird","Synthetic BTC = Synthetic MeatArtificial, dangerous and smells weird",-0.5859,0.0,0.407,-0.5666666666666667,0.9666666666666667
2020-09-12,2,#Bitcoin advocates are government cynics. We don't put hope in those who are in power.,#Bitcoin advocates are government cynics. We don't put hope in those who are in power.,-0.4031,0.0,0.222,0.0,0.0
