date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-03,1,   Yes! Definitely! We will launch $BTC on #TRON very soon! Actually we need the energy from #Bitcoin community! 😍,Yes! Definitely! We will launch $BTC on #TRON very soon! Actually we need the energy from #Bitcoin community! 😍,0.8257,0.366,0.0,0.08333333333333333,0.3
2020-09-04,1,"Congratulations to  for listing #KLV on  w/ #BTC &amp; #USDT trading pairs!

#Klever is a 4th generation crypto wallet ecosystem w/ built-in Swaps to &amp; from 100s of #TRON, #BTC &amp; #ETH tokens, advanced #KleverOS security &amp; Web 3.0 browser. The future is bright! https://t.co/tso4SOBTSr","Congratulations to  for listing #KLV on  w/ #BTC &amp; #USDT trading pairs!#Klever is a 4th generation crypto wallet ecosystem w/ built-in Swaps to &amp; from 100s of #TRON, #BTC &amp; #ETH tokens, advanced #KleverOS security &amp; Web 3.0 browser. The future is bright!",0.8953,0.228,0.0,0.42500000000000004,0.5083333333333333
2020-09-11,2, ....what makes https://t.co/Y2sDxbtLrj more centralized than uniswap???,....what makes  more centralized than uniswap???,0.0,0.0,0.0,0.5,0.5
2020-09-12,2," Hi Brian, , #1 in smartphone market share, is very friendly to crypto. Samsung keystore supports #Dapps and #Defi integrated with #Bitcoin, #Ethereum and #TRON. The partnership with Samsung will make  a strong case to . I am happy to introduce.","Hi Brian, , #1 in smartphone market share, is very friendly to crypto. Samsung keystore supports #Dapps and #Defi integrated with #Bitcoin, #Ethereum and #TRON. The partnership with Samsung will make  a strong case to . I am happy to introduce.",0.9348,0.322,0.0,0.5736111111111112,0.7944444444444444
2020-09-13,2,"(3/3) The first batch of non-TRC10/20 tokens under observation:
Bitcoin $BTC
Ethereum $ETH
Ripple $XRP
BitcoinCash $BCH
Litecoin $LTC
Bitcoin SV $BSV
STEEM $STEEM
 
The first batch of TRC10/20 tokens under observation:
$PEARL
$JFI
$DICE",(3/3) The first batch of non-TRC10/20 tokens under observation:Bitcoin $BTCEthereum $ETHRipple $XRPBitcoinCash $BCHLitecoin $LTCBitcoin SV $BSVSTEEM $STEEM The first batch of TRC10/20 tokens under observation:$PEARL$JFI$DICE,0.0,0.0,0.0,0.25,0.3333333333333333
2020-09-16,3,  Yes! #Bitcoin is coming on #TRON!,Yes! #Bitcoin is coming on #TRON!,0.508,0.396,0.0,0.0,0.0
2020-09-21,4,"#TRON Weekly Report

1. #TRON blockchain height has exceeded 23.34 million
2. The number of TRON accounts has exceeded 10 million
3. The circulation of #TRC20-#USDT has exceeded 5 billion
#TRX 
https://t.co/baZfxbtXlU",#TRON Weekly Report1. #TRON blockchain height has exceeded 23.34 million2. The number of TRON accounts has exceeded 10 million3. The circulation of #TRC20-#USDT has exceeded 5 billion#TRX,0.0772,0.042,0.0,0.0,0.0
2020-09-24,4,"#TRON DeFi is stronger working with  on this stratigic alliance. Soon  $WBTC and wrapped $ETH will be on #TRON  $BTC $ETH hodlers welcome to #TRON DeFi getting all the DeFi benefits without paying crazy gas fee! $TRX $JST
 https://t.co/RA9Fh60RqK",#TRON DeFi is stronger working with  on this stratigic alliance. Soon  $WBTC and wrapped $ETH will be on #TRON  $BTC $ETH hodlers welcome to #TRON DeFi getting all the DeFi benefits without paying crazy gas fee! $TRX $JST,0.86,0.231,0.0,0.025000000000000022,0.9
2020-09-29,5,"#TRON and #BitGo enter strategic partnership for custody of #wBTC, #wETH.

 has entered into a strategic partnership with custody service provider .

The cooperation enables #Bitcoin and #Ethereum owners to enter TRON’s #DeFi market easily and quickly. https://t.co/TI2Fs0yK0x","#TRON and #BitGo enter strategic partnership for custody of #wBTC, #wETH. has entered into a strategic partnership with custody service provider .The cooperation enables #Bitcoin and #Ethereum owners to enter TRON’s #DeFi market easily and quickly.",0.34,0.064,0.0,0.3833333333333333,0.6666666666666667
2020-09-30,5,#Bitcoin on #TRON.  will be the first one to support it. If any exchanges want to support $BTC on #TRON. Please let me know!  https://t.co/b9pxRQEw6p https://t.co/icaAScY5rW,#Bitcoin on #TRON.  will be the first one to support it. If any exchanges want to support $BTC on #TRON. Please let me know!,0.807,0.297,0.0,0.3125,0.3333333333333333
