date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,   Are you saying I can finally get paid to shill btc,Are you saying I can finally get paid to shill btc,0.0,0.0,0.0,0.0,1.0
2020-09-01,1,"Whoa there, cowboy! If you're gonna tax a microtasker for earning a few bucks worth of bitcoin then you'd best be taxing the stakers too! https://t.co/XLkmW3UD0T","Whoa there, cowboy! If you're gonna tax a microtasker for earning a few bucks worth of bitcoin then you'd best be taxing the stakers too!",0.7707,0.233,0.0,0.3666666666666667,0.16666666666666666
2020-09-01,1,"Q: Why don't bitcoin exchanges regularly post cryptographic proof of reserves?
A: Because without proof of liabilities, you still don't know if it's operating as a fractional reserve.","Q: Why don't bitcoin exchanges regularly post cryptographic proof of reserves?A: Because without proof of liabilities, you still don't know if it's operating as a fractional reserve.",0.1511,0.058,0.0,0.0,0.07692307692307693
2020-09-01,1,"Noobs aren't going to start paying attention to Bitcoin until the dollar drops to an all-time low, below 5,000 sats.","Noobs aren't going to start paying attention to Bitcoin until the dollar drops to an all-time low, below 5,000 sats.",-0.2732,0.0,0.1,0.0,0.3
2020-09-02,1,"Bullish on Bitcoin investment theses.
Just added half a dozen new theses to https://t.co/r8u48YdYPn",Bullish on Bitcoin investment theses.Just added half a dozen new theses to,0.0,0.0,0.0,-0.015151515151515152,0.3106060606060606
2020-09-02,1,"If you tell friends to buy bitcoin, they will most likely:

* panic sell at a loss
OR
* sell early and miss massive gains

If you tell your friends NOT to buy bitcoin, they'll also miss out on long term gains.

Moral of the story: don't tell people what do to with their money.","If you tell friends to buy bitcoin, they will most likely:* panic sell at a lossOR* sell early and miss massive gainsIf you tell your friends NOT to buy bitcoin, they'll also miss out on long term gains.Moral of the story: don't tell people what do to with their money.",0.4445,0.172,0.142,0.09166666666666666,0.575
2020-09-03,1,"RIP ""Bitcoin Cash is the real Bitcoin"" narrative.
The average Bitcoin block size is 10X larger than bcash. https://t.co/HjzRhHAx01","RIP ""Bitcoin Cash is the real Bitcoin"" narrative.The average Bitcoin block size is 10X larger than bcash.",-0.4404,0.0,0.139,0.016666666666666673,0.39999999999999997
2020-09-03,1,"Five years ago this article was published by :

""In Five Years, 'Bitcoin' Won’t Exist... And That’s Okay"" 

The blog on which it was published no longer exists, but the Internet does not forget...

#ThrowbackThursday https://t.co/0TaebMGLLZ","Five years ago this article was published by :""In Five Years, 'Bitcoin' Won’t Exist... And That’s Okay"" The blog on which it was published no longer exists, but the Internet does not forget...#ThrowbackThursday",-0.0387,0.04,0.044,0.5,0.5
2020-09-04,1,Probably ran out of funds in their hot wallet and need to run over to the cold storage vault in order to re-up. Bitcoin supply held by exchanges continues to decrease. https://t.co/lzhcSuEhJm,Probably ran out of funds in their hot wallet and need to run over to the cold storage vault in order to re-up. Bitcoin supply held by exchanges continues to decrease.,0.0,0.0,0.0,-0.175,0.925
2020-09-04,1,Bitcoin is freedom from financial fuckery. https://t.co/RZPFXjGdfm,Bitcoin is freedom from financial fuckery.,0.6369,0.412,0.0,0.0,0.0
2020-09-05,1,"Choose your denomination!
Nocoiner
Precoiner
Bitcoiner
Bitcoin supporter
Bitcoin evangelist
Bitcoin maximalist
Bitcoin supremacist
Bitcoin monetary maximalist
Bitcoin pragmatist
Bitcoin centrist
Bitcoin mutant
Pro Bitcoin",Choose your denomination!NocoinerPrecoinerBitcoinerBitcoin supporterBitcoin evangelistBitcoin maximalistBitcoin supremacistBitcoin monetary maximalistBitcoin pragmatistBitcoin centristBitcoin mutantPro Bitcoin,0.4389,0.145,0.0,0.0,0.0
2020-09-06,1,Are you irresponsibly long on bitcoin but have doubts about your security? Schedule a call with  to learn how we can help! https://t.co/3oVqiMXjKl,Are you irresponsibly long on bitcoin but have doubts about your security? Schedule a call with  to learn how we can help!,0.63,0.242,0.097,-0.0625,0.4
