date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-15,3,"On September 14, 2020, MicroStrategy completed its acquisition of 16,796 additional bitcoins at an aggregate purchase price of $175 million. To date, we have purchased a total of 38,250 bitcoins at an aggregate purchase price of $425 million, inclusive of fees and expenses.","On September 14, 2020, MicroStrategy completed its acquisition of 16,796 additional bitcoins at an aggregate purchase price of $175 million. To date, we have purchased a total of 38,250 bitcoins at an aggregate purchase price of $425 million, inclusive of fees and expenses.",0.0,0.0,0.0,0.0,0.75
2020-09-17,3,"We acquired 21,454 BTC via 78,388 off-chain transactions, then secured it in cold storage with 18 on-chain transactions.  #Bitcoin scales just fine as a store of value.","We acquired 21,454 BTC via 78,388 off-chain transactions, then secured it in cold storage with 18 on-chain transactions.  #Bitcoin scales just fine as a store of value.",0.7096,0.231,0.0,-0.09166666666666665,0.75
2020-09-17,3,"For clarity, I was referring to the 21,454 BTC that MicroStrategy acquired, as publicly disclosed on 8/11/20.","For clarity, I was referring to the 21,454 BTC that MicroStrategy acquired, as publicly disclosed on 8/11/20.",0.4019,0.153,0.0,0.0,0.06666666666666667
2020-09-17,3,"If #Bitcoin is treated as a treasury reserve asset, based on our model, 99.98% of all transactions will be off-chain, and assets-at-risk will be in cold storage 99.92% of the time.","If #Bitcoin is treated as a treasury reserve asset, based on our model, 99.98% of all transactions will be off-chain, and assets-at-risk will be in cold storage 99.92% of the time.",0.5106,0.133,0.0,-0.6,1.0
2020-09-18,3,"To acquire 16,796 BTC (disclosed  9/14/20), we traded continuously 74 hours, executing 88,617 trades ~0.19 BTC each 3 seconds. ~$39,414 in BTC per minute, but at all times we were ready to purchase $30-50 million in a few seconds if we got lucky with a 1-2% downward spike.","To acquire 16,796 BTC (disclosed  9/14/20), we traded continuously 74 hours, executing 88,617 trades ~0.19 BTC each 3 seconds. ~$39,414 in BTC per minute, but at all times we were ready to purchase $30-50 million in a few seconds if we got lucky with a 1-2% downward spike.",0.7876,0.139,0.0,0.1111111111111111,0.4777777777777778
2020-09-18,3,"#Bitcoin is a swarm of cyber hornets serving the goddess of wisdom, feeding on the fire of truth, exponentially growing ever smarter, faster, and stronger behind a wall of encrypted energy.","#Bitcoin is a swarm of cyber hornets serving the goddess of wisdom, feeding on the fire of truth, exponentially growing ever smarter, faster, and stronger behind a wall of encrypted energy.",0.8934,0.382,0.061,-0.4,0.7
2020-09-18,3," This session is focused upon investment strategy, technology philosophy, macroeconomics, #Bitcoin vs Gold, &amp; adopting the #Bitcoin Standard.  I get a bit intense. 🔥","This session is focused upon investment strategy, technology philosophy, macroeconomics, #Bitcoin vs Gold, &amp; adopting the #Bitcoin Standard.  I get a bit intense. 🔥",0.4404,0.17,0.0,0.1,0.5
2020-09-20,3,"When considering network dominance in the crypto industry, I find it clarifying to separate crypto-asset networks like #Bitcoin from crypto-application networks like Ethereum &amp; stablecoins. Bitcoin dominance has advanced from a low of 71.05% on December 20, 2017 to 93.57% today. https://t.co/03cbWVyoLY","When considering network dominance in the crypto industry, I find it clarifying to separate crypto-asset networks like #Bitcoin from crypto-application networks like Ethereum &amp; stablecoins. Bitcoin dominance has advanced from a low of 71.05% on December 20, 2017 to 93.57% today.",0.7579,0.227,0.045,0.2,0.44999999999999996
2020-09-23,4, The headline is a misrepresentation of what I said.  I merely indicated that #Bitcoin is to be preferred as a treasury asset because it is so liquid.   I never suggested an intent to trade it for other assets on short notice.,The headline is a misrepresentation of what I said.  I merely indicated that #Bitcoin is to be preferred as a treasury asset because it is so liquid.   I never suggested an intent to trade it for other assets on short notice.,0.25,0.146,0.073,-0.20833333333333334,0.39166666666666666
2020-09-23,4,"There is no truth to the stories currently circulating that speculate ""he would not hesitate to dump MicroStrategy’s 38,250 Bitcoin (BTC) at a moment’s notice if an alternative asset’s yields were to jump.""   This is creative journalism.","There is no truth to the stories currently circulating that speculate ""he would not hesitate to dump MicroStrategy’s 38,250 Bitcoin (BTC) at a moment’s notice if an alternative asset’s yields were to jump.""   This is creative journalism.",0.7182,0.217,0.052,0.25,0.7
