date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-14,3," Immediately dumping the token they just mined doesn’t imply being a good Samaritan.

Thinking of LP as speculators is pretty much the same as thinking of Bitcoin miners as traders. Some are, some aren’t.","Immediately dumping the token they just mined doesn’t imply being a good Samaritan.Thinking of LP as speculators is pretty much the same as thinking of Bitcoin miners as traders. Some are, some aren’t.",0.5859,0.159,0.06,0.2875,0.48125
2020-09-19,3,"     Good catch, the CEO of Swerve is ready to offer you your job back, just need a signature from the CEO of Bitcoin.","Good catch, the CEO of Swerve is ready to offer you your job back, just need a signature from the CEO of Bitcoin.",0.6597,0.213,0.0,0.3,0.3666666666666667
2020-09-22,4," defi means i buy low and dump on everyone

bitcoin is defi

see, easy","defi means i buy low and dump on everyonebitcoin is defisee, easy",-0.2023,0.165,0.267,0.21666666666666667,0.5666666666666667
2020-09-23,4," TBH, recommending BTC to friends and family is exactly how you end up with neither.","TBH, recommending BTC to friends and family is exactly how you end up with neither.",0.4767,0.181,0.0,0.25,0.25
2020-09-23,4,"  True, because I definitely said, that it was me who recommended BTC to them.","True, because I definitely said, that it was me who recommended BTC to them.",0.743,0.422,0.0,0.175,0.575
2020-10-06,6," I think that main beneficiaries of this event will be other stablecoins because USDT is so entangled into the whole ecosystem that its demise will lead to a devastating systemic catastrophe, affecting all volatile assets, including BTC.","I think that main beneficiaries of this event will be other stablecoins because USDT is so entangled into the whole ecosystem that its demise will lead to a devastating systemic catastrophe, affecting all volatile assets, including BTC.",-0.7351,0.102,0.197,-0.18958333333333333,0.5270833333333333
2020-10-14,7," Bitcoin is a salty maxis generation machine and Ethereum is a defi lambo ponzi generation machine. 

Just my 2 cents, ma’am.","Bitcoin is a salty maxis generation machine and Ethereum is a defi lambo ponzi generation machine. Just my 2 cents, ma’am.",0.0,0.0,0.0,0.0,0.0
2020-10-19,8,"   It is a definite thing, but it entirely depends on a very democratic consensus. The moment the consensus decides there is 100m BTC now, the definite thing changes.","It is a definite thing, but it entirely depends on a very democratic consensus. The moment the consensus decides there is 100m BTC now, the definite thing changes.",0.4939,0.149,0.0,0.05,0.48125
2020-10-20,8,"👎 bitcoin vs alts
👌profiting from both",👎 bitcoin vs alts👌profiting from both,0.0,0.0,0.0,0.0,0.0
2020-10-20,8," 300x BTC long, target $20k, got it, funding secured","300x BTC long, target $20k, got it, funding secured",0.4019,0.252,0.0,-0.05,0.4
2020-10-20,8,"Feeling comfy in USDC. 

Bitcoin breaks $12k, good, some stablecoin liq will be out of my farms, chasing pump, more apy for me.

Dumps massively, also good. Will start sliding in some fav tokens.

Either way not diving into this retard market until we’re way past the elections.","Feeling comfy in USDC. Bitcoin breaks $12k, good, some stablecoin liq will be out of my farms, chasing pump, more apy for me.Dumps massively, also good. Will start sliding in some fav tokens.Either way not diving into this retard market until we’re way past the elections.",0.4548,0.176,0.125,0.12499999999999999,0.6583333333333333
