date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1, I like that analogy because there's a funny way it's ill-fitting. The Bitcoiner team believes it's the only team worthy of the league.,I like that analogy because there's a funny way it's ill-fitting. The Bitcoiner team believes it's the only team worthy of the league.,0.8074,0.316,0.0,0.19444444444444442,1.0
2020-09-01,1," I don't think the authorities do either. In fact, I don't think they'll NOTICE until retail gets in en masse and gets burned. And at the moment DeFi is too complex for retail. I'm not sure when it will be ready. I believe it'll take new BTCUSD &amp; ETHUSD ATHs.","I don't think the authorities do either. In fact, I don't think they'll NOTICE until retail gets in en masse and gets burned. And at the moment DeFi is too complex for retail. I'm not sure when it will be ready. I believe it'll take new BTCUSD &amp; ETHUSD ATHs.",0.1376,0.051,0.04,-0.05340909090909092,0.5608585858585858
2020-09-01,1,Please tag your favourite #Bitcoin maximalist,Please tag your favourite #Bitcoin maximalist,0.3182,0.315,0.0,0.0,0.0
2020-09-03,1, Buy the #Bitcoin dip and feel better,Buy the #Bitcoin dip and feel better,0.4404,0.326,0.0,0.5,0.5
2020-09-05,1," Honestly, 1/13th of 9600 $BTC is fine payment for 4 years' work 😶","Honestly, 1/13th of 9600 $BTC is fine payment for 4 years' work 😶",0.5859,0.348,0.0,0.5083333333333333,0.7
2020-09-05,1,These BTCUSD whipsaws around 10k https://t.co/qNVWIkXvEZ,These BTCUSD whipsaws around 10k,0.0,0.0,0.0,0.0,0.0
2020-09-06,1,"       Stories are the underwater part of the iceberg, memes are the top of it.

#Bitcoin's success is hinged on ossifying. It's stopped being a story for years. NOBODY IS EXCITED ABOUT BITCOIN. AND THIS IS THE BEST THING. IT MEANS BITCOIN WON.

Right now the #DeFi story is mattering.","Stories are the underwater part of the iceberg, memes are the top of it.#Bitcoin's success is hinged on ossifying. It's stopped being a story for years. NOBODY IS EXCITED ABOUT BITCOIN. AND THIS IS THE BEST THING. IT MEANS BITCOIN WON.Right now the #DeFi story is mattering.",0.9524,0.291,0.031,0.4921428571428571,0.41714285714285715
2020-09-06,1,"       The sad thing is, in the quest to push their bags, the maxis' narrative has made no impact other than to separate $BTC-Bitcoin from everything else. The ""That's not Bitcoin!"" scoff at everything built out from Bitcoin is the ""That's not music!"" scoff at rock n' roll.","The sad thing is, in the quest to push their bags, the maxis' narrative has made no impact other than to separate $BTC-Bitcoin from everything else. The ""That's not Bitcoin!"" scoff at everything built out from Bitcoin is the ""That's not music!"" scoff at rock n' roll.",-0.7081,0.0,0.116,-0.34765625,0.6875
2020-09-07,2, Other acceptable answer: Satoshi,Other acceptable answer: Satoshi,0.3182,0.434,0.0,-0.125,0.375
2020-09-07,2,  How awesome would it be for wBTC farmers to be earning more ROI than actual $BTC miners for a sustained period,How awesome would it be for wBTC farmers to be earning more ROI than actual $BTC miners for a sustained period,0.6249,0.177,0.0,0.5,0.5333333333333333
2020-09-08,2,Everyone buying BTCUSD just slightly under 10k is a lastchancer,Everyone buying BTCUSD just slightly under 10k is a lastchancer,0.0,0.0,0.0,-0.16666666666666666,0.16666666666666666
2020-09-09,2,"  I hope there was a nice amount on there!

Ever since localbitcoins KYCjacked its users, the official nsf position became that I never used it ever in my life so I don't care. 🤫","I hope there was a nice amount on there!Ever since localbitcoins KYCjacked its users, the official nsf position became that I never used it ever in my life so I don't care. 🤫",0.4741,0.172,0.083,0.75,1.0
2020-09-09,2, Wait for the crackdown on #DeFi and on KYC'd #Bitcoin.,Wait for the crackdown on #DeFi and on KYC'd #Bitcoin.,0.0,0.0,0.0,0.0,0.0
2020-09-09,2,"  Yeah, it hasn't had its first halving yet, so its emission is equivalent to Bitcoin's original emission (except unlike Bitcoin, it has 10000 other competing cryptocurrencies and tokens)","Yeah, it hasn't had its first halving yet, so its emission is equivalent to Bitcoin's original emission (except unlike Bitcoin, it has 10000 other competing cryptocurrencies and tokens)",0.5423,0.148,0.0,0.16666666666666666,0.4861111111111111
2020-09-09,2," But the Bitcoin one must have taken some juice to do. Big difference between 6 and 7, no?","But the Bitcoin one must have taken some juice to do. Big difference between 6 and 7, no?",-0.296,0.0,0.121,0.0,0.1
2020-09-10,2,  Yep bitshares is its own dex. There are wrapped BTC to trade against,Yep bitshares is its own dex. There are wrapped BTC to trade against,0.296,0.155,0.0,0.6,1.0
2020-09-11,2,"  For starters, just a BitcoinChecker functionality for uniswap/sushiswap/balancer

But I recognize there's much deeper dex data to be had that would be worth alerting

we can dm","For starters, just a BitcoinChecker functionality for uniswap/sushiswap/balancerBut I recognize there's much deeper dex data to be had that would be worth alertingwe can dm",0.2263,0.073,0.0,0.25,0.15000000000000002
2020-09-14,3, I think BTCUSD moves are just the pause button on all the other stuff as people mark their alt fuckery to BTC--&gt;fiat,I think BTCUSD moves are just the pause button on all the other stuff as people mark their alt fuckery to BTC--fiat,0.0,0.0,0.0,-0.125,0.375
2020-09-16,3," Proper risk management... and now, alerts from 's Amplify app (BitcoinChecker fork/upgrade) 🙌","Proper risk management... and now, alerts from 's Amplify app (BitcoinChecker fork/upgrade) 🙌",-0.2732,0.0,0.16,0.0,0.1
2020-09-16,3," IMHO $crypto is permissionless and essentially un-bannable. Greater strides are made joining vs beating. How many times have we seen ""China bans Bitcoin""? I don't know much about India but I bet no $crypto ban would be widely, practically enforced.","IMHO $crypto is permissionless and essentially un-bannable. Greater strides are made joining vs beating. How many times have we seen ""China bans Bitcoin""? I don't know much about India but I bet no $crypto ban would be widely, practically enforced.",-0.8381,0.039,0.213,0.21999999999999997,0.38
2020-09-17,3,Sure wasn't a #Bitcoin exchange or a ⚡ network that just now gave all its users $600-$1200 worth of its base currency 😶,Sure wasn't a #Bitcoin exchange or a ⚡ network that just now gave all its users $600-$1200 worth of its base currency 😶,0.4939,0.198,0.0,0.0,0.662962962962963
2020-09-17,3," The  airdrop was similar. Everyone dumping it on receipt was really happy to do so. It instantly went 4x, and it's still 3x the airdropped BTC value despite the slow price bleed ever since","The  airdrop was similar. Everyone dumping it on receipt was really happy to do so. It instantly went 4x, and it's still 3x the airdropped BTC value despite the slow price bleed ever since",0.624,0.161,0.058,0.125,0.6166666666666666
2020-09-20,3," ""Sounds great and all, what will you charge us to create a version of Bitcoin just like that, but which we own and control and can sell to (or pay to buy deeper data from) our user base? Let's talk.""","""Sounds great and all, what will you charge us to create a version of Bitcoin just like that, but which we own and control and can sell to (or pay to buy deeper data from) our user base? Let's talk.""",0.5023,0.138,0.038,0.19999999999999996,0.9166666666666666
2020-09-20,3,"   My secrets nooooooooo

#Bitcointalk2015",My secrets nooooooooo#Bitcointalk2015,0.0,0.0,0.0,0.0,0.0
2020-09-20,3," I've never done a tweet like this but I do like them.

""Be better. Be Bitcoiner.""","I've never done a tweet like this but I do like them.""Be better. Be Bitcoiner.""",0.1606,0.202,0.221,0.5,0.5
