date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-03,1," Clarify, not sure I understand. Personally I exited almost all my portfolio in last two days (stocks, forex, BTC), so in process moved assets back into home currency USD","Clarify, not sure I understand. Personally I exited almost all my portfolio in last two days (stocks, forex, BTC), so in process moved assets back into home currency USD",-0.0675,0.059,0.068,-0.0625,0.3138888888888889
2020-09-08,2,"Flagging
$ETH
$BTC https://t.co/ijJgMqVUj1",Flagging$ETH$BTC,0.0,0.0,0.0,0.0,0.0
2020-09-13,2," Irony is that $BTC (&amp; other cryptos) where created to counter uncontrolled expansion of fiats, then cryptomaniacs created their own uncontrolled expansionary fiat $USDT and think it’s great. Huh???","Irony is that $BTC (&amp; other cryptos) where created to counter uncontrolled expansion of fiats, then cryptomaniacs created their own uncontrolled expansionary fiat $USDT and think it’s great. Huh???",0.6641,0.235,0.141,0.425,0.7083333333333334
2020-09-17,3,"New #crypto report for members of #bitcoin Live.

Video Report here &gt;&gt;&gt;  https://t.co/PV1TtVpCeM https://t.co/BACXw52nVk",New #crypto report for members of #bitcoin Live.Video Report here,0.0,0.0,0.0,0.13636363636363635,0.4772727272727273
2020-09-24,4," No, I have only traded BTC futures short once, in Nov 2018. Otherwise I do not short cryptos","No, I have only traded BTC futures short once, in Nov 2018. Otherwise I do not short cryptos",-0.296,0.0,0.128,0.0,0.5333333333333333
2020-09-27,4, I view $BTC similarly -- as a store of value. The ability for $BTC to serve as a reserve currency remains to be seen,I view $BTC similarly -- as a store of value. The ability for $BTC to serve as a reserve currency remains to be seen,0.5719,0.198,0.0,0.0,0.4
2020-10-02,5,"    had a chance to introduce a futures contract that would have given it a huge entry into $BTC, but it blew it. Terrible contract. Rushed to the market before understanding what they needed to do to become THE DOMINANT player","had a chance to introduce a futures contract that would have given it a huge entry into $BTC, but it blew it. Terrible contract. Rushed to the market before understanding what they needed to do to become THE DOMINANT player",-0.4588,0.076,0.1,-0.29999999999999993,0.95
2020-10-02,5,"Weekly #Crypto report released for members of #Bitcoin Live. 

Video report found here &gt;&gt;  https://t.co/nwYuDXtvgb https://t.co/9cmJlSU1SU",Weekly #Crypto report released for members of #Bitcoin Live. Video report found here,0.0,0.0,0.0,0.13636363636363635,0.5
2020-10-05,6,     Thanks. CFTC has jurisdiction over BTC futures. It will become a real mess if Congress declares cryptos to be securities under the auspicious of the SEC.,Thanks. CFTC has jurisdiction over BTC futures. It will become a real mess if Congress declares cryptos to be securities under the auspicious of the SEC.,0.3818,0.172,0.084,-0.05416666666666665,0.3541666666666667
2020-10-08,6,  It is enormously significant that a global corporation is putting $BTC onto its balance sheet. The charts are quite close to flashing a buy signal. https://t.co/8OiPWquOi3,It is enormously significant that a global corporation is putting $BTC onto its balance sheet. The charts are quite close to flashing a buy signal.,0.2716,0.083,0.0,0.1875,0.4375
