date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-09-01,1,"Bitcoin ABC and  have announced that they are forking away from #BitcoinCash on Nov 15th.
We wish them good luck with their new coin and thank them for the free airdrop to all BCH holders.",Bitcoin ABC and  have announced that they are forking away from #BitcoinCash on Nov 15th.We wish them good luck with their new coin and thank them for the free airdrop to all BCH holders.,0.9246,0.324,0.0,0.4121212121212121,0.6181818181818183
2020-09-07,2,"Join us next week for #Antigua’s first #Bitcoin Cash meetup! #Caribbean 
https://t.co/NmHhi6p6Ce",Join us next week for #Antigua’s first #Bitcoin Cash meetup! #Caribbean,0.3595,0.185,0.0,0.15625,0.16666666666666666
2020-09-14,3,"Sent this text message to about a 5th the population of the entire country of #Antigua.
#Bitcoin #Cash #Crypto 
 https://t.co/NmHhi6p6Ce https://t.co/FQGDMajfF5",Sent this text message to about a 5th the population of the entire country of #Antigua.#Bitcoin #Cash #Crypto,0.0,0.0,0.0,0.0,0.625
2020-09-17,3,#BitcoinCash is spreading in ways #Bitcoin no longer can. https://t.co/NWlZsFCaap https://t.co/kODQjFpLBl,#BitcoinCash is spreading in ways #Bitcoin no longer can.,-0.296,0.0,0.18,0.0,0.0
2020-09-18,3,"Bitcoin is the brand that people want.

Bitcoin Cash is the technology and user experience that made it popular.",Bitcoin is the brand that people want.Bitcoin Cash is the technology and user experience that made it popular.,0.4767,0.194,0.0,0.6,0.9
2020-09-22,4,Bitcoin was designed to be digital cash used to make payments over the internet.,Bitcoin was designed to be digital cash used to make payments over the internet.,0.0,0.0,0.0,0.0,0.0
2020-09-23,4,If #Bitcoin is not an efficient medium of exchange it’s basically useless for promoting free markets. https://t.co/If6iJJf6jF,If #Bitcoin is not an efficient medium of exchange it’s basically useless for promoting free markets.,0.17,0.242,0.214,-0.04999999999999999,0.5
2020-09-27,4,Having nearly 100x more #Bitcoin wrapped for use on #Ethereum than in #LightningNetwork shows LN has been a total failure for scaling BTC. https://t.co/USDQDR9kYv,Having nearly 100x more #Bitcoin wrapped for use on #Ethereum than in #LightningNetwork shows LN has been a total failure for scaling BTC.,-0.5106,0.0,0.13,0.07083333333333332,0.4875
2020-09-29,5,"The very first #BitcoinCash ATM machines have landed! They will be ready for the public to use to save on #Amazon via https://t.co/lxg87Yd5Rn shortly. 
https://t.co/QqGctilqAf #Caribbean https://t.co/gUpJTYUXAi",The very first #BitcoinCash ATM machines have landed! They will be ready for the public to use to save on #Amazon via  shortly.  #Caribbean,0.7177,0.193,0.0,0.1515625,0.325
2020-10-04,5,Bitcoin Cash continues to spread as a peer to peer cash system for the world. https://t.co/NWlZsFCaap https://t.co/kyuJ8itewJ,Bitcoin Cash continues to spread as a peer to peer cash system for the world.,0.0,0.0,0.0,0.0,0.0
2020-10-06,6,#Bitcoin maximalists are too focused on market cap instead of market utility.,#Bitcoin maximalists are too focused on market cap instead of market utility.,0.3818,0.191,0.0,0.0,0.0
2020-10-10,6,Bitcoin Cash is a peer to peer electronic cash system. https://t.co/3QfzXxTeMJ,Bitcoin Cash is a peer to peer electronic cash system.,0.0,0.0,0.0,0.0,0.0
2020-10-11,6,#Bitcoin sounds more like #BitcoinCash https://t.co/P8wSgsD42f,#Bitcoin sounds more like #BitcoinCash,0.4201,0.358,0.0,0.5,0.5
2020-10-14,7,Buy hundreds of different gift cards from directly inside the https://t.co/6EeRmpfaH7 wallet using #Bitcoin with high network fees or #BitcoinCash with almost no network fee. https://t.co/RzytEVGc4z,Buy hundreds of different gift cards from directly inside the  wallet using #Bitcoin with high network fees or #BitcoinCash with almost no network fee.,0.2484,0.101,0.066,0.08666666666666667,0.5133333333333333
2020-10-17,7,I just donated #BitcoinCash so you can more easily accept Bitcoin Cash on your website. https://t.co/isDFQOZI6X,I just donated #BitcoinCash so you can more easily accept Bitcoin Cash on your website.,0.6779,0.3,0.0,0.4666666666666667,0.6666666666666667
2020-10-17,7,"Bitcoin did not run into fundamental scaling problems; instead, the project was taken over by a small group of software developers that intentionally limited its throughput capacity and functionality.
https://t.co/Relxtzr5XH","Bitcoin did not run into fundamental scaling problems; instead, the project was taken over by a small group of software developers that intentionally limited its throughput capacity and functionality.",-0.5574,0.0,0.146,-0.1607142857142857,0.27142857142857146
2020-10-18,7,Bitcoin Cash adoption continues to spread because it works as cash. https://t.co/cLodel4gI8,Bitcoin Cash adoption continues to spread because it works as cash.,0.0,0.0,0.0,0.0,0.0
2020-10-19,8,"Bitcoin Cash is money built for you, not for banks. https://t.co/HCpM82vpYj","Bitcoin Cash is money built for you, not for banks.",0.0,0.0,0.0,0.0,0.0
2020-10-21,8,https://t.co/6EeRmpfaH7 has partnered with  to allow users to buy Bitcoin Cash directly inside their privacy centric browser. https://t.co/PsqZOrLQAX,has partnered with  to allow users to buy Bitcoin Cash directly inside their privacy centric browser.,0.2263,0.101,0.0,0.05,0.25
2020-10-22,8,Bitcoin Cash has more than 20 times the transaction capacity of Bitcoin.,Bitcoin Cash has more than 20 times the transaction capacity of Bitcoin.,0.0,0.0,0.0,0.5,0.5
2020-10-28,9,"Bitcoin and Bitcoin Cash are equally scarce, but Bitcoin Cash can actually be used for payments. https://t.co/oTLW45sHxF","Bitcoin and Bitcoin Cash are equally scarce, but Bitcoin Cash can actually be used for payments.",0.0,0.0,0.0,0.0,0.175
2020-10-30,9,"Bitcoin and Bitcoin Cash are equally scarce, but Bitcoin Cash has more censorship resistance because you don’t need to use a custodian to hold it due to high on chain fees. https://t.co/OzaUUtvswK","Bitcoin and Bitcoin Cash are equally scarce, but Bitcoin Cash has more censorship resistance because you don’t need to use a custodian to hold it due to high on chain fees.",0.0,0.0,0.0,0.13375,0.41625
2020-11-01,9,On the 12th anniversary of #Bitcoin imagine being someone who denies that it was always meant to be a peer to peer electronic cash system. #BitcoinCash https://t.co/hN3MIewetZ,On the 12th anniversary of #Bitcoin imagine being someone who denies that it was always meant to be a peer to peer electronic cash system. #BitcoinCash,-0.4215,0.0,0.101,0.0,0.0
2020-11-01,9,See  explain why #Bitcoin censorship is on the way: https://t.co/20dEQCRLHH,See  explain why #Bitcoin censorship is on the way:,0.0,0.0,0.0,0.0,0.0
2020-11-08,10,Bitcoin has been forever crippled by its 1MB block size limit.  Luckily the world has Bitcoin Cash and other non crippled coins. https://t.co/o0ttHwJQ9l,Bitcoin has been forever crippled by its 1MB block size limit.  Luckily the world has Bitcoin Cash and other non crippled coins.,0.1027,0.121,0.107,0.10416666666666666,0.6041666666666667
2020-11-09,11,"Another day, another new Bitcoin Cash accepting merchant in Antigua. #Caribbean 
https://t.co/6cc5UEDQ1R https://t.co/R6jpn38LIC","Another day, another new Bitcoin Cash accepting merchant in Antigua. #Caribbean",0.3818,0.178,0.0,0.13636363636363635,0.45454545454545453
2020-11-12,11,"BCH works as cash.
BTC no longer does.
That’s why Bitcoin Cash is for everybody. https://t.co/QquPsRdBhL",BCH works as cash.BTC no longer does.That’s why Bitcoin Cash is for everybody.,-0.296,0.0,0.128,0.0,0.0
2020-11-17,12,"Imagine investing in #Bitcoin today, but not realizing it was always meant to be cash.
#BitcoinCash https://t.co/PhG35sBsAu","Imagine investing in #Bitcoin today, but not realizing it was always meant to be cash.#BitcoinCash",0.0,0.0,0.0,0.0,0.0
2020-11-20,12,"2009 Satoshi: Chancellor on Brink of Second Bailout for Banks

2020 Bitcoin fan: Defer to governments on matters of currency https://t.co/dDbCUBZZxa",2009 Satoshi: Chancellor on Brink of Second Bailout for Banks2020 Bitcoin fan: Defer to governments on matters of currency,-0.0516,0.142,0.15,0.0,0.0
