date,week,tweets,processed,nltk-compound,nltk-pos,nltk-neg,tb-polarity,tb-subjectivity
2020-07-02,7,"  I agree with that statement, but that's not what maximalist means. Maximalist means you believe Bitcoin is the only valuable blockchain or digital asset, and zero other chains/tokens/assets have any value or merit; all are scams.","I agree with that statement, but that's not what maximalist means. Maximalist means you believe Bitcoin is the only valuable blockchain or digital asset, and zero other chains/tokens/assets have any value or merit; all are scams.",0.8674,0.318,0.104,-0.041666666666666664,0.4583333333333333
2020-07-04,7,"  Gotta say I agree with Ross on this one. Bitcoin is not “the only property you can truly own.” Rather, Bitcoin’s attributes make it extremely defensible from confiscation, but this is a question of degree. You can truly own many things, some are easier to protect than others.","Gotta say I agree with Ross on this one. Bitcoin is not “the only property you can truly own.” Rather, Bitcoin’s attributes make it extremely defensible from confiscation, but this is a question of degree. You can truly own many things, some are easier to protect than others.",0.9348,0.288,0.0,0.315,0.9
2020-07-06,8,"“Speculative asset” and “currency” are not mutually exclusive categories. I speculate on Bitcoin, true. I’ve also bought alpaca socks, pizza, domain names, &amp; plane tickets with Bitcoin... though never have I done so with gold 🤔 https://t.co/uknU5o5Lnc","“Speculative asset” and “currency” are not mutually exclusive categories. I speculate on Bitcoin, true. I’ve also bought alpaca socks, pizza, domain names, &amp; plane tickets with Bitcoin... though never have I done so with gold 🤔",0.3464,0.077,0.038,0.35,0.65
2020-07-08,8,"Awesome! Through all the noise, FIO is one of the signal projects, making all cryptocurrency payments easier and more private for the world. Better Bitcoin, better Ethereum, better Doge, better everything. https://t.co/5AKw2IhMX4","Awesome! Through all the noise, FIO is one of the signal projects, making all cryptocurrency payments easier and more private for the world. Better Bitcoin, better Ethereum, better Doge, better everything.",0.9571,0.42,0.0,0.5,0.5535714285714286
2020-07-08,8,"  Data: Bitcoin is a smaller portion of the crypto pie than it was in 2014. This disproves any mythology about alts ""fading away"" since then. Multiple assets are now larger in trade vol and mkt cap today than Bitcoin was in 2014. The ecosystem is growing.","Data: Bitcoin is a smaller portion of the crypto pie than it was in 2014. This disproves any mythology about alts ""fading away"" since then. Multiple assets are now larger in trade vol and mkt cap today than Bitcoin was in 2014. The ecosystem is growing.",0.34,0.073,0.0,0.0,0.3333333333333333
2020-07-08,8,"   Maxi's believe BTC dominance is, always has been, and always will be, 100%.","Maxi's believe BTC dominance is, always has been, and always will be, 100%.",0.2023,0.13,0.0,0.0,0.0
2020-07-08,8,"   Do you ask this of Maxi's?  Currently I'm 90% BTC, 10% mix of ETH, ATOM, FIL, MKR, XMR, BNB, plus some stablecoins.  From portfolio bias alone, I should be a Maxi... unless of course I understood that BTC is stronger within an ecosystem of diverse crypto assets.","Do you ask this of Maxi's?  Currently I'm 90% BTC, 10% mix of ETH, ATOM, FIL, MKR, XMR, BNB, plus some stablecoins.  From portfolio bias alone, I should be a Maxi... unless of course I understood that BTC is stronger within an ecosystem of diverse crypto assets.",0.2263,0.09,0.071,0.0,0.4
2020-07-16,9,"A picture is worth a thousand sats. ShapeShift's new liquidity engine beats the competition, and can provide zero slippage on up to $50,000 at a time. https://t.co/SV3H3QwzVV #bitcoin #ethereum https://t.co/ow84dMWDTy","A picture is worth a thousand sats. ShapeShift's new liquidity engine beats the competition, and can provide zero slippage on up to $50,000 at a time.  #bitcoin #ethereum",0.2263,0.068,0.0,0.21818181818181817,0.2772727272727273
2020-07-16,9,"   Which ""anti-btc tweet"" are you referring to?","Which ""anti-btc tweet"" are you referring to?",0.0,0.0,0.0,0.0,0.0
2020-07-16,9,"   Our URL is https://t.co/cKcR3HiXAS... you went to an old site.  On that other site, Litecoin and Dash appeared because random coins appear on page load. Sometimes it's Bitcoin, sometimes it's not 😱","Our URL is  you went to an old site.  On that other site, Litecoin and Dash appeared because random coins appear on page load. Sometimes it's Bitcoin, sometimes it's not 😱",0.0,0.0,0.0,-0.17500000000000002,0.35833333333333334
2020-07-16,9,"   Advocating for SegWit and a larger blocksize is ""as antibtc as it could get."" okay 😏","Advocating for SegWit and a larger blocksize is ""as antibtc as it could get."" okay 😏",0.2263,0.128,0.0,0.25,0.5
2020-07-16,9,"    I think you might be wildly mis-perceiving this point... it would be far more tickets as it's an entirely different way of sending BTC.  ""Why can't I send via lightning to wallet XYZ?"" ""Well, sir, it also has to support lightning""  &lt;--- this would be rampant.","I think you might be wildly mis-perceiving this point... it would be far more tickets as it's an entirely different way of sending BTC.  ""Why can't I send via lightning to wallet XYZ?"" ""Well, sir, it also has to support lightning""  &lt;--- this would be rampant.",0.4019,0.059,0.0,0.175,0.625
2020-07-16,9,"   We were one of, if not the very first, major exchange/wallet to integrate SegWit. When fees on Bitcoin become prohibitive again, we'll further prioritize lightning.","We were one of, if not the very first, major exchange/wallet to integrate SegWit. When fees on Bitcoin become prohibitive again, we'll further prioritize lightning.",0.0,0.0,0.0,0.12916666666666668,0.4777777777777778
2020-07-16,9,"By 2024, the time of the next halving, Bitcoin's stock-to-flow ratio will be higher than gold. Has there ever been another commodity that has achieved this?","By 2024, the time of the next halving, Bitcoin's stock-to-flow ratio will be higher than gold. Has there ever been another commodity that has achieved this?",0.0,0.0,0.0,0.125,0.25
2020-07-16,9,"    It's hard to have an honest discussion when someone dismisses all non-Bitcoin chains and assets as shit...  that view is demonstrably false &amp; tribalistic, and pulls into question your ability to discern value and technological trends.","It's hard to have an honest discussion when someone dismisses all non-Bitcoin chains and assets as shit...  that view is demonstrably false &amp; tribalistic, and pulls into question your ability to discern value and technological trends.",0.8074,0.23,0.033,-0.0729166666666667,0.7104166666666667
2020-07-16,9,"  Please tell me how Binance should've built the BNB token ""on top of Bitcoin?""  How should Monero build a private coin ""on top of Bitcoin?""","Please tell me how Binance should've built the BNB token ""on top of Bitcoin?""  How should Monero build a private coin ""on top of Bitcoin?""",0.644,0.23,0.0,0.3333333333333333,0.4583333333333333
2020-07-17,9,"""Whatever their reasons for learning about Bitcoin, each wave of adoption causes a small few to look past the promise of riches to start asking serious questions about the nature of money and the state."" ❤️ https://t.co/Yyz1Zx7HLY","""Whatever their reasons for learning about Bitcoin, each wave of adoption causes a small few to look past the promise of riches to start asking serious questions about the nature of money and the state."" ❤️",0.6597,0.142,0.033,-0.2583333333333333,0.35416666666666663
2020-07-19,9, The cynic calls it “pumping and dumping.” It’s also called early investors in a project exit part of their position when price rises later. Happens in alts. Happens in Bitcoin. Happens in equities. Nothing wrong with it unless there is fraud or theft occurring.,The cynic calls it “pumping and dumping.” It’s also called early investors in a project exit part of their position when price rises later. Happens in alts. Happens in Bitcoin. Happens in equities. Nothing wrong with it unless there is fraud or theft occurring.,-0.5641,0.052,0.127,-0.13333333333333333,0.39999999999999997
2020-07-19,9,"  The gymnastics of a maxi... When fees high on BTC, it means people value BTC and security is higher. When fees high on ETH, it is a sign of failure.

Reality: both blockchains have throughput constraints and fees will rise with usage. Neither is necessarily good nor bad.","The gymnastics of a maxi... When fees high on BTC, it means people value BTC and security is higher. When fees high on ETH, it is a sign of failure.Reality: both blockchains have throughput constraints and fees will rise with usage. Neither is necessarily good nor bad.",0.2368,0.141,0.105,0.04222222222222225,0.5244444444444445
2020-07-19,9,"  Alternate explanation: Project is gaining traction and success, Coinbase lists promising asset, price rises due to both things, and early investors sell take some profits. 

Normal, natural, reasonable, &amp; market-based. You're pissed because non-BTC projects are growing.","Alternate explanation: Project is gaining traction and success, Coinbase lists promising asset, price rises due to both things, and early investors sell take some profits. Normal, natural, reasonable, &amp; market-based. You're pissed because non-BTC projects are growing.",0.9118,0.362,0.081,0.115625,0.353125
2020-07-19,9,"The properties of money are widely cited: durability, portability, divisibility, uniformity, scarcity, and verifiability. #Bitcoin emerged, and added a new property no prior money ever held: immutability.  With this, it has a fair chance of becoming the base-layer money of Earth.","The properties of money are widely cited: durability, portability, divisibility, uniformity, scarcity, and verifiability. #Bitcoin emerged, and added a new property no prior money ever held: immutability.  With this, it has a fair chance of becoming the base-layer money of Earth.",0.2732,0.101,0.052,0.23727272727272725,0.5209090909090909
2020-07-21,10,"Just released: The ShapeShift Mobile App 🚀 

Easy self-custody, multi-chain, integrated trading at amazing rates, and you can buy Bitcoin with a credit card, delivered in under an hour.  

Try it out today and get $3 of free #Bitcoin 🍻

iOS and Android: https://t.co/nmXZonXooX https://t.co/NAIN8fjBAG","Just released: The ShapeShift Mobile App 🚀 Easy self-custody, multi-chain, integrated trading at amazing rates, and you can buy Bitcoin with a credit card, delivered in under an hour.  Try it out today and get $3 of free #Bitcoin 🍻iOS and Android:",0.9118,0.249,0.0,0.47777777777777786,0.8444444444444444
2020-07-21,10,"Exciting week for crypto...

Today: ShapeShift Mobile https://t.co/qlrn8U83n0

July 28th: Augur 2.0 https://t.co/bKOHCm1A2G

July 29th: Microtick Mainnet https://t.co/97mLrOUl3X

#bitcoin #ethereum #cosmos",Exciting week for crypto...Today: ShapeShift Mobile July 28th: Augur 2.0 July 29th: Microtick Mainnet #bitcoin #ethereum #cosmos,0.4939,0.138,0.0,0.3,0.8
2020-07-21,10," No, MetaMask doesn't support Bitcoin.","No, MetaMask doesn't support Bitcoin.",-0.5358,0.0,0.598,0.0,0.0
2020-07-22,10, It was the old school one released in 2015 for 1:1 asset swaps. This new one does all that plus is an integrated wallet and you can buy Bitcoin seamlessly via credit card. Let us know what you think!,It was the old school one released in 2015 for 1:1 asset swaps. This new one does all that plus is an integrated wallet and you can buy Bitcoin seamlessly via credit card. Let us know what you think!,0.6588,0.127,0.0,0.12045454545454544,0.2515151515151515
